Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6
2005-08-03,10.04,10.04,10.04,10.04,0,0.0,,,
2005-08-04,10.0,10.0,10.0,10.0,0,0.0,,,
2005-08-05,9.93,9.93,9.93,9.93,0,0.0,,,
2005-08-08,10.11,10.11,10.11,10.11,0,0.0,,,
2005-08-09,10.15,10.15,10.15,10.15,0,0.0,,,
2005-08-10,10.19,10.19,10.19,10.19,0,0.0,,,
2005-08-11,10.26,10.26,10.26,10.26,0,0.0,,,
2005-08-12,10.24,10.24,10.24,10.24,0,0.0,,,
2005-08-15,10.25,10.25,10.25,10.25,0,0.0,,,
2005-08-16,10.22,10.22,10.22,10.22,0,0.0,,,
2005-08-17,10.18,10.18,10.18,10.18,0,0.0,,,
2005-08-18,10.1,10.1,10.1,10.1,0,0.0,,,
2005-08-19,10.09,10.09,10.09,10.09,0,0.0,,,
2005-08-22,10.23,10.23,10.23,10.23,0,0.0,,,
2005-08-23,10.19,10.19,10.19,10.19,0,0.0,,,
2005-08-24,10.13,10.13,10.13,10.13,0,0.0,,,
2005-08-25,10.18,10.18,10.18,10.18,0,0.0,,,
2005-08-26,10.17,10.17,10.17,10.17,0,0.0,,,
2005-08-29,10.12,10.12,10.12,10.12,0,0.0,,,
2005-08-30,10.14,10.14,10.14,10.14,0,0.0,,,
2005-08-31,10.3,10.3,10.3,10.3,0,0.0,,,
2005-09-01,10.45,10.45,10.45,10.45,0,0.0,1.0408366533864541,,
2005-09-02,10.53,10.53,10.53,10.53,0,0.0,,,
2005-09-06,10.56,10.56,10.56,10.56,0,0.0,,,
2005-09-07,10.53,10.53,10.53,10.53,0,0.0,,,
2005-09-08,10.5,10.5,10.5,10.5,0,0.0,,,
2005-09-09,10.63,10.63,10.63,10.63,0,0.0,,,
2005-09-12,10.6,10.6,10.6,10.6,0,0.0,,,
2005-09-13,10.57,10.57,10.57,10.57,0,0.0,,,
2005-09-14,10.59,10.59,10.59,10.59,0,0.0,,,
2005-09-15,10.65,10.65,10.65,10.65,0,0.0,,,
2005-09-16,10.74,10.74,10.74,10.74,0,0.0,,,
2005-09-19,10.7,10.7,10.7,10.7,0,0.0,,,
