Date,Open,High,Low,Close,Volume,Dividend
2006-05-05,49.26,49.68,49.26,49.68,50100,0.0
2006-05-08,49.62,49.69,49.48,49.64,2400,0.0
2006-05-09,49.56,49.64,49.41,49.41,8900,0.0
2006-05-10,49.4,49.55,49.21,49.21,15000,0.0
2006-05-11,49.1,49.1,48.76,48.76,9000,0.0
2006-05-12,48.5,48.52,48.23,48.23,9600,0.0
2006-05-15,47.98,48.3,47.98,48.28,12200,0.0
2006-05-16,48.35,48.53,48.35,48.48,5100,0.0
2006-05-17,48.3,48.34,47.83,47.9,14100,0.0
2006-05-18,47.9,47.97,47.67,47.67,3700,0.0
2006-05-19,47.73,47.73,47.26,47.33,3100,0.0
2006-05-22,47.2,47.25,46.71,47.17,4800,0.0
2006-05-23,47.07,47.07,46.73,46.73,3600,0.0
2006-05-24,46.75,46.94,46.4,46.6,17500,0.0
2006-05-25,47.46,47.49,47.32,47.47,5100,0.0
2006-05-26,47.59,47.8,47.36,47.8,15500,0.0
2006-05-30,47.64,47.64,47.18,47.18,5500,0.0
2006-05-31,47.25,47.56,47.24,47.47,10800,0.0
2006-06-01,47.65,48.0,47.65,48.0,7800,0.0
2006-06-02,48.13,48.25,47.93,48.25,34300,0.0
2006-06-05,48.11,48.11,47.37,47.37,10400,0.0
2006-06-06,47.3,47.3,47.0,47.18,2600,0.0
2006-06-07,47.75,47.84,47.47,47.47,2200,0.0
2006-06-08,47.17,47.41,46.78,47.41,2600,0.0
2006-06-09,47.48,47.48,47.15,47.15,2100,0.0
2006-06-12,47.25,47.25,46.62,46.69,2600,0.0
2006-06-13,46.8,46.8,46.3,46.3,4200,0.0
2006-06-14,46.32,46.44,46.17,46.35,4400,0.0
2006-06-15,46.78,47.62,46.78,47.46,13600,0.0
2006-06-16,47.67,47.75,47.3,47.38,10000,0.0
2006-06-19,47.43,47.43,46.6,46.67,11800,0.0
2006-06-20,46.3,46.57,46.3,46.44,7300,0.0
2006-06-21,46.5,46.77,46.4,46.55,9400,0.0
2006-06-22,46.12,46.47,46.11,46.47,4200,0.001
2006-06-23,46.4,46.4,46.28,46.28,1400,0.0
2006-06-26,45.6,45.84,45.44,45.56,15800,0.0
2006-06-27,45.27,45.29,44.84,44.86,2400,0.0
2006-06-28,44.83,45.01,44.64,44.93,3800,0.0
2006-06-29,45.1,45.63,45.1,45.63,2900,0.0
2006-06-30,45.91,45.92,45.66,45.81,12300,0.0
2006-07-03,45.75,46.06,45.75,46.06,3200,0.0
2006-07-05,45.8,45.8,45.48,45.69,4900,0.0
2006-07-06,45.93,45.99,45.7,45.78,10200,0.0
2006-07-07,45.68,45.97,45.67,45.77,9900,0.0
2006-07-10,46.0,46.09,45.7,45.85,9200,0.0
2006-07-11,45.81,46.07,45.63,46.07,10900,0.0
2006-07-12,45.89,45.9,45.5,45.5,40800,0.0
2006-07-13,45.35,45.41,45.0,45.02,7000,0.0
2006-07-14,45.0,45.0,44.37,44.65,4300,0.0
2006-07-17,44.7,44.8,44.67,44.69,32900,0.0
2006-07-18,44.86,44.86,44.32,44.63,8700,0.0
2006-07-19,44.85,45.78,44.85,45.72,87800,0.0
2006-07-20,45.79,45.79,45.2,45.27,4300,0.0
2006-07-21,44.92,45.16,44.84,44.84,1600,0.0
2006-07-24,45.06,45.35,45.06,45.34,4300,0.0
2006-07-25,45.25,46.41,45.15,46.23,97900,0.0
2006-07-26,46.1,46.81,45.9,46.54,77300,0.0
2006-07-27,46.62,46.62,46.14,46.31,17800,0.0
2006-07-28,46.55,47.1,46.55,47.06,63200,0.0
2006-07-31,46.91,46.91,46.69,46.84,10600,0.0
2006-08-01,46.37,46.81,46.25,46.81,4000,0.0
2006-08-02,47.85,47.85,47.15,47.24,27000,0.0
2006-08-03,45.45,45.81,45.17,45.65,24700,0.0
2006-08-04,45.75,45.75,45.2,45.22,11100,0.0
2006-08-07,45.0,45.02,44.8,44.9,14900,0.0
2006-08-08,45.06,45.21,44.72,44.8,8000,0.0
2006-08-09,45.16,45.34,44.82,44.87,10100,0.0
2006-08-10,44.63,45.13,44.63,45.01,4100,0.0
2006-08-11,44.95,45.08,44.85,45.01,6600,0.0
2006-08-14,45.19,45.29,44.82,44.82,5600,0.0
2006-08-15,45.28,45.62,45.28,45.62,3300,0.0
2006-08-16,45.81,45.87,45.71,45.83,4400,0.0
2006-08-17,45.83,46.63,45.83,46.52,6700,0.0
2006-08-18,46.42,46.65,46.33,46.65,3400,0.0
2006-08-21,46.47,46.52,46.36,46.51,3400,0.0
2006-08-22,46.12,46.25,46.11,46.11,3100,0.0
2006-08-23,46.34,46.4,45.75,45.79,12000,0.0
2006-08-24,45.97,46.47,45.97,46.35,14800,0.0
2006-08-25,46.25,46.5,46.25,46.39,12800,0.0
2006-08-28,46.48,46.66,46.48,46.63,8100,0.0
2006-08-29,46.78,46.98,46.55,46.98,16600,0.0
2006-08-30,46.93,47.06,46.93,46.96,8700,0.0
2006-08-31,46.99,47.2,46.97,47.2,11200,0.0
2006-09-01,47.27,47.39,47.18,47.29,9500,0.0
2006-09-05,47.29,47.29,47.04,47.04,6900,0.0
2006-09-06,46.9,47.1,46.75,46.82,5700,0.0
2006-09-07,46.5,46.81,46.5,46.6,6300,0.0
2006-09-08,46.67,46.86,46.67,46.82,4700,0.0
2006-09-11,46.68,46.82,46.43,46.81,8700,0.0
2006-09-12,46.95,47.5,46.77,47.48,16300,0.0
2006-09-13,47.57,47.57,47.23,47.42,13900,0.0
2006-09-14,47.4,47.58,47.18,47.56,4700,0.0
2006-09-15,47.7,47.85,47.54,47.63,4700,0.0
2006-09-18,47.7,47.8,47.52,47.64,15200,0.0
2006-09-19,47.74,47.74,47.39,47.62,4400,0.0
2006-09-20,47.65,48.04,47.65,48.03,3600,0.0
2006-09-21,48.2,48.2,47.52,47.64,6300,0.0
2006-09-22,47.45,47.45,46.45,46.64,8200,0.0
2006-09-25,46.77,46.79,46.4,46.74,1400,0.0
2006-09-26,46.61,46.69,46.4,46.55,11600,0.0
2006-09-27,46.42,46.65,46.4,46.65,4500,0.0
2006-09-28,46.55,46.77,46.45,46.77,2500,0.0
2006-09-29,46.79,46.79,46.63,46.63,3800,0.0
2006-10-02,46.65,46.65,46.12,46.23,24700,0.0
2006-10-03,46.09,46.68,46.08,46.52,4100,0.0
2006-10-04,46.99,47.39,46.99,47.39,6100,0.0
2006-10-05,47.46,47.92,47.46,47.92,9100,0.0
2006-10-06,47.9,47.9,47.65,47.65,10200,0.0
2006-10-09,47.74,47.85,47.53,47.84,12100,0.0
2006-10-10,47.8,47.82,47.65,47.82,3000,0.0
2006-10-11,47.89,47.94,47.59,47.73,4900,0.0
2006-10-12,47.96,48.0,47.81,48.0,4200,0.0
2006-10-13,48.21,48.21,47.84,47.84,6600,0.0
2006-10-16,47.7,47.95,47.69,47.75,31400,0.0
2006-10-17,47.68,47.68,47.43,47.64,5600,0.0
2006-10-18,48.17,48.17,47.84,47.94,7500,0.0
2006-10-19,48.11,48.18,47.87,48.18,4500,0.0
2006-10-20,48.25,48.34,48.19,48.23,4700,0.0
2006-10-23,48.15,48.45,48.12,48.43,7000,0.0
2006-10-24,48.5,48.73,48.21,48.38,2700,0.0
2006-10-25,48.54,48.61,48.32,48.49,14100,0.0
2006-10-26,48.4,49.0,48.35,48.96,10500,0.0
2006-10-27,48.9,48.9,48.72,48.72,6800,0.0
2006-10-30,48.55,48.83,48.55,48.76,2700,0.0
2006-10-31,48.76,48.79,48.64,48.66,37400,0.0
2006-11-01,48.82,48.82,48.39,48.44,5100,0.0
2006-11-02,48.29,48.71,48.29,48.71,4800,0.0
2006-11-03,48.77,49.0,48.68,48.8,9000,0.0
2006-11-06,48.96,49.52,48.96,49.52,10500,0.0
2006-11-07,49.72,49.82,49.49,49.6,12300,0.0
2006-11-08,49.16,49.37,49.05,49.31,15100,0.0
2006-11-09,49.4,49.4,48.55,48.69,16800,0.0
2006-11-10,48.74,49.07,48.59,49.04,4700,0.0
2006-11-13,49.02,49.12,48.57,48.57,3400,0.0
2006-11-14,48.43,49.04,48.36,49.04,19400,0.0
2006-11-15,49.14,49.28,49.14,49.2,6100,0.0
2006-11-16,49.25,49.5,49.25,49.49,5400,0.0
2006-11-17,49.5,49.5,49.11,49.41,9900,0.0
2006-11-20,49.38,49.48,49.27,49.43,12600,0.0
2006-11-21,50.15,50.26,49.97,50.25,14000,0.0
2006-11-22,50.18,50.34,50.14,50.26,26400,0.0
2006-11-24,50.1,50.18,49.95,50.11,2800,0.0
2006-11-27,50.0,50.0,49.22,49.4,110400,0.0
2006-11-28,49.55,49.55,49.34,49.48,104600,0.0
2006-11-29,49.71,49.84,49.61,49.73,4500,0.0
2006-11-30,49.5,49.72,49.43,49.65,5400,0.0
2006-12-01,49.54,49.65,49.3,49.65,3800,0.0
2006-12-04,50.34,50.69,50.3,50.68,111000,0.0
2006-12-05,50.86,50.97,50.82,50.85,57300,0.0
2006-12-06,50.99,51.32,50.99,51.27,5300,0.0
2006-12-07,51.5,51.5,51.04,51.09,9700,0.0
