Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_2,Momentum_3,Momentum_4,Momentum_5,Momentum_6,Momentum_7,Momentum_8,Momentum_9,Momentum_10
2000-05-26,45.53,45.72,45.31,45.72,74800,0.0,,,,,,,,,,
2000-05-30,46.38,47.41,46.38,47.41,57600,0.0,,,,,,,,,,
2000-05-31,47.56,48.19,47.56,47.58,36000,0.0,,,,,,,,,,
2000-06-01,48.55,48.66,48.55,48.66,7000,0.0,1.0663298923786513,,,,,,,,,
2000-06-02,50.86,51.19,50.86,51.19,29400,0.0,,,,,,,,,,
2000-06-05,51.06,51.56,50.94,51.0,48400,0.0,,,,,,,,,,
2000-06-06,51.8,52.41,51.34,51.5,151800,0.0,,,,,,,,,,
2000-06-07,51.19,51.56,50.72,51.56,131000,0.0,,,,,,,,,,
2000-06-08,52.12,52.12,51.44,51.44,91400,0.0,,,,,,,,,,
2000-06-09,51.94,52.34,51.91,52.34,41600,0.0,,,,,,,,,,
2000-06-12,52.5,52.5,50.75,50.79,85200,0.0,,,,,,,,,,
2000-06-13,50.66,51.44,50.19,51.44,168200,0.0,,,,,,,,,,
2000-06-14,51.86,51.86,51.19,51.19,43200,0.0,,,,,,,,,,
2000-06-15,50.88,51.25,50.38,51.25,26800,0.0,,,,,,,,,,
2000-06-16,51.47,51.5,50.97,50.97,30200,0.0,,,,,,,,,,
2000-06-19,51.25,52.25,51.02,52.25,59200,0.0,,,,,,,,,,
2000-06-20,52.33,52.67,52.12,52.59,47000,0.0,,,,,,,,,,
2000-06-21,52.12,52.94,52.12,52.84,66800,0.03,,,,,,,,,,
2000-06-22,53.0,53.0,51.25,51.25,139600,0.0,,,,,,,,,,
2000-06-23,51.75,51.75,50.5,50.91,235800,0.0,,,,,,,,,,
2000-06-26,51.11,51.53,50.88,51.53,93600,0.0,,,,,,,,,,
2000-06-27,51.61,52.06,50.72,50.72,112800,0.0,,,,,,,,,,
2000-06-28,50.94,52.19,50.94,52.0,170600,0.0,,,,,,,,,,
2000-06-29,51.75,51.84,51.03,51.19,212200,0.0,,,,,,,,,,
2000-06-30,51.22,51.68,50.8,51.68,1171800,0.0,1.0861706599411518,,,,,,,,,
2000-07-03,51.56,52.41,51.5,52.41,15800,0.0,1.0619979402677653,1.1324401493520755,,,,,,,,
2000-07-05,52.11,52.12,51.63,51.81,138800,0.0,,,,,,,,,,
2000-07-06,51.83,52.42,51.34,52.42,154600,0.0,,,,,,,,,,
2000-07-07,52.43,52.95,52.43,52.75,71800,0.0,,,,,,,,,,
2000-07-10,52.72,53.28,52.72,53.09,44800,0.0,,,,,,,,,,
2000-07-11,53.0,53.3,52.84,53.03,253200,0.0,,,,,,,,,,
2000-07-12,53.31,54.09,53.25,54.09,45200,0.0,,,,,,,,,,
2000-07-13,54.14,54.27,54.0,54.27,102600,0.0,,,,,,,,,,
2000-07-14,54.55,54.55,53.88,54.31,54800,0.0,,,,,,,,,,
2000-07-17,54.36,54.59,54.22,54.5,46600,0.0,,,,,,,,,,
2000-07-18,54.14,54.14,53.56,53.56,235400,0.0,,,,,,,,,,
2000-07-19,53.39,53.39,52.62,52.62,35400,0.0,,,,,,,,,,
2000-07-20,53.12,53.5,53.12,53.5,150400,0.0,,,,,,,,,,
