Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6
2007-02-05,9.99,9.99,9.99,9.99,0,0.0,,,
2007-02-06,10.05,10.05,10.05,10.05,0,0.0,,,
2007-02-07,10.19,10.19,10.19,10.19,0,0.0,,,
2007-02-08,10.18,10.18,10.18,10.18,0,0.0,,,
2007-02-09,10.17,10.17,10.17,10.17,0,0.0,,,
2007-02-12,10.12,10.12,10.12,10.12,0,0.0,,,
2007-02-13,10.17,10.17,10.17,10.17,0,0.0,,,
2007-02-14,10.29,10.29,10.29,10.29,0,0.0,,,
2007-02-15,10.35,10.35,10.35,10.35,0,0.0,,,
2007-02-16,10.36,10.36,10.36,10.36,0,0.0,,,
2007-02-20,10.4,10.4,10.4,10.4,0,0.0,,,
2007-02-21,10.46,10.46,10.46,10.46,0,0.0,,,
2007-02-22,10.46,10.46,10.46,10.46,0,0.0,,,
2007-02-23,10.49,10.49,10.49,10.49,0,0.0,,,
2007-02-26,10.54,10.54,10.54,10.54,0,0.0,,,
2007-02-27,10.01,10.01,10.01,10.01,0,0.0,,,
2007-02-28,9.95,9.95,9.95,9.95,0,0.0,,,
2007-03-01,9.83,9.83,9.83,9.83,0,0.0,0.983983983983984,,
2007-03-02,9.74,9.74,9.74,9.74,0,0.0,,,
2007-03-05,9.41,9.41,9.41,9.41,0,0.0,,,
2007-03-06,9.74,9.74,9.74,9.74,0,0.0,,,
2007-03-07,9.84,9.84,9.84,9.84,0,0.0,,,
2007-03-08,10.07,10.07,10.07,10.07,0,0.0,,,
2007-03-09,10.05,10.05,10.05,10.05,0,0.0,,,
2007-03-12,10.14,10.14,10.14,10.14,0,0.0,,,
2007-03-13,9.94,9.94,9.94,9.94,0,0.0,,,
2007-03-14,9.87,9.87,9.87,9.87,0,0.0,,,
2007-03-15,10.01,10.01,10.01,10.01,0,0.0,,,
2007-03-16,10.05,10.05,10.05,10.05,0,0.0,,,
2007-03-19,10.18,10.18,10.18,10.18,0,0.0,,,
2007-03-20,10.25,10.25,10.25,10.25,0,0.0,,,
2007-03-21,10.48,10.48,10.48,10.48,0,0.0,,,
2007-03-22,10.53,10.53,10.53,10.53,0,0.0,,,
2007-03-23,10.52,10.52,10.52,10.52,0,0.0,,,
2007-03-26,10.65,10.65,10.65,10.65,0,0.0,,,
2007-03-27,10.57,10.57,10.57,10.57,0,0.0,,,
2007-03-28,10.53,10.53,10.53,10.53,0,0.0,,,
2007-03-29,10.62,10.62,10.62,10.62,0,0.0,,,
2007-03-30,10.7,10.7,10.7,10.7,0,0.0,1.0753768844221105,,
2007-04-02,10.76,10.76,10.76,10.76,0,0.0,1.0946083418107833,,
2007-04-03,10.92,10.92,10.92,10.92,0,0.0,,,
2007-04-04,11.11,11.11,11.11,11.11,0,0.0,,,
2007-04-05,11.16,11.16,11.16,11.16,0,0.0,,,
2007-04-09,11.18,11.18,11.18,11.18,0,0.0,,,
2007-04-10,11.34,11.34,11.34,11.34,0,0.0,,,
2007-04-11,11.36,11.36,11.36,11.36,0,0.0,,,
2007-04-12,11.37,11.37,11.37,11.37,0,0.0,,,
2007-04-13,11.41,11.41,11.41,11.41,0,0.0,,,
2007-04-16,11.53,11.53,11.53,11.53,0,0.0,,,
2007-04-17,11.51,11.51,11.51,11.51,0,0.0,,,
2007-04-18,11.5,11.5,11.5,11.5,0,0.0,,,
2007-04-19,11.45,11.45,11.45,11.45,0,0.0,,,
2007-04-20,11.57,11.57,11.57,11.57,0,0.0,,,
2007-04-23,11.66,11.66,11.66,11.66,0,0.0,,,
2007-04-24,11.61,11.61,11.61,11.61,0,0.0,,,
2007-04-25,11.75,11.75,11.75,11.75,0,0.0,,,
