Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6
1997-11-17,10.0,10.0,10.0,10.0,0,0.0,,,
1997-11-18,10.0,10.0,10.0,10.0,0,0.0,,,
1997-11-19,9.99,9.99,9.99,9.99,0,0.0,,,
1997-11-20,10.03,10.03,10.03,10.03,0,0.0,,,
1997-11-21,10.06,10.06,10.06,10.06,0,0.0,,,
1997-11-24,10.05,10.05,10.05,10.05,0,0.0,,,
1997-11-25,10.01,10.01,10.01,10.01,0,0.0,,,
1997-11-26,10.01,10.01,10.01,10.01,0,0.0,,,
1997-11-28,10.11,10.11,10.11,10.11,0,0.0,,,
1997-12-01,10.12,10.12,10.12,10.12,0,0.0,1.012,,
1997-12-02,10.13,10.13,10.13,10.13,0,0.0,,,
1997-12-03,10.15,10.15,10.15,10.15,0,0.0,,,
1997-12-04,10.16,10.16,10.16,10.16,0,0.0,,,
1997-12-05,10.17,10.17,10.17,10.17,0,0.0,,,
1997-12-08,10.21,10.21,10.21,10.21,0,0.0,,,
1997-12-09,10.21,10.21,10.21,10.21,0,0.0,,,
1997-12-10,10.22,10.22,10.22,10.22,0,0.0,,,
1997-12-11,10.18,10.18,10.18,10.18,0,0.0,,,
1997-12-12,10.16,10.16,10.16,10.16,0,0.0,,,
1997-12-15,10.12,10.12,10.12,10.12,0,0.0,,,
1997-12-16,10.09,10.09,10.09,10.09,0,0.0,,,
1997-12-17,10.12,10.12,10.12,10.12,0,0.0,,,
1997-12-18,10.13,10.13,10.13,10.13,0,0.0,,,
1997-12-19,10.12,10.12,10.12,10.12,0,0.0,,,
1997-12-22,10.06,10.06,10.06,10.06,0,0.0,,,
1997-12-23,10.11,10.11,10.11,10.11,0,0.0,,,
1997-12-24,10.11,10.11,10.11,10.11,0,0.0,,,
1997-12-26,10.19,10.19,10.19,10.19,0,0.0,,,
1997-12-29,10.16,10.16,10.16,10.16,0,0.0,,,
1997-12-30,10.24,10.24,10.24,10.24,0,0.0,,,
1997-12-31,10.24,10.24,10.24,10.24,0,0.0,1.0128585558852623,,
1998-01-02,10.28,10.28,10.28,10.28,0,0.0,1.0158102766798418,,
1998-01-05,10.31,10.31,10.31,10.31,0,0.0,,,
1998-01-06,10.29,10.29,10.29,10.29,0,0.0,,,
1998-01-07,10.13,10.13,10.13,10.13,0,0.0,,,
1998-01-08,10.15,10.15,10.15,10.15,0,0.0,,,
1998-01-09,10.03,10.03,10.03,10.03,0,0.0,,,
1998-01-12,9.88,9.88,9.88,9.88,0,0.0,,,
1998-01-13,10.02,10.02,10.02,10.02,0,0.0,,,
1998-01-14,10.1,10.1,10.1,10.1,0,0.0,,,
1998-01-15,10.03,10.03,10.03,10.03,0,0.0,,,
1998-01-16,10.15,10.15,10.15,10.15,0,0.0,,,
1998-01-20,10.19,10.19,10.19,10.19,0,0.0,,,
1998-01-21,10.38,10.38,10.38,10.38,0,0.0,,,
1998-01-22,10.49,10.49,10.49,10.49,0,0.0,,,
1998-01-23,10.57,10.57,10.57,10.57,0,0.0,,,
1998-01-26,10.61,10.61,10.61,10.61,0,0.0,,,
1998-01-27,10.67,10.67,10.67,10.67,0,0.0,,,
1998-01-28,10.78,10.78,10.78,10.78,0,0.0,,,
1998-01-29,10.65,10.65,10.65,10.65,0,0.0,,,
1998-01-30,10.62,10.62,10.62,10.62,0,0.0,1.037109375,,
1998-02-02,10.86,10.86,10.86,10.86,0,0.0,1.056420233463035,1.0859999999999999,
1998-02-03,10.95,10.95,10.95,10.95,0,0.0,,,
1998-02-04,10.96,10.96,10.96,10.96,0,0.0,,,
1998-02-05,11.03,11.03,11.03,11.03,0,0.0,,,
1998-02-06,11.06,11.06,11.06,11.06,0,0.0,,,
1998-02-09,11.03,11.03,11.03,11.03,0,0.0,,,
1998-02-10,11.04,11.04,11.04,11.04,0,0.0,,,
1998-02-11,11.08,11.08,11.08,11.08,0,0.0,,,
1998-02-12,11.04,11.04,11.04,11.04,0,0.0,,,
1998-02-13,10.91,10.91,10.91,10.91,0,0.0,,,
1998-02-17,10.87,10.87,10.87,10.87,0,0.0,,,
1998-02-18,10.86,10.86,10.86,10.86,0,0.0,,,
1998-02-19,10.95,10.95,10.95,10.95,0,0.0,,,
1998-02-20,10.93,10.93,10.93,10.93,0,0.0,,,
1998-02-23,11.07,11.07,11.07,11.07,0,0.0,,,
1998-02-24,11.07,11.07,11.07,11.07,0,0.0,,,
1998-02-25,11.08,11.08,11.08,11.08,0,0.0,,,
1998-02-26,11.15,11.15,11.15,11.15,0,0.0,,,
1998-02-27,11.15,11.15,11.15,11.15,0,0.0,1.0499058380414314,1.1028684470820969,
1998-03-02,11.24,11.24,11.24,11.24,0,0.0,1.0349907918968693,1.1106719367588933,
1998-03-03,11.33,11.33,11.33,11.33,0,0.0,,,
1998-03-04,11.31,11.31,11.31,11.31,0,0.0,,,
1998-03-05,11.18,11.18,11.18,11.18,0,0.0,,,
1998-03-06,11.26,11.26,11.26,11.26,0,0.0,,,
1998-03-09,11.32,11.32,11.32,11.32,0,0.0,,,
1998-03-10,11.36,11.36,11.36,11.36,0,0.0,,,
1998-03-11,11.31,11.31,11.31,11.31,0,0.0,,,
1998-03-12,11.38,11.38,11.38,11.38,0,0.0,,,
1998-03-13,11.57,11.57,11.57,11.57,0,0.0,,,
1998-03-16,11.52,11.52,11.52,11.52,0,0.0,,,
1998-03-17,11.63,11.63,11.63,11.63,0,0.0,,,
1998-03-18,11.57,11.57,11.57,11.57,0,0.0,,,
1998-03-19,11.54,11.54,11.54,11.54,0,0.0,,,
1998-03-20,11.64,11.64,11.64,11.64,0,0.0,,,
1998-03-23,11.73,11.73,11.73,11.73,0,0.0,,,
1998-03-24,11.74,11.74,11.74,11.74,0,0.0,,,
1998-03-25,11.87,11.87,11.87,11.87,0,0.0,,,
1998-03-26,12.2,12.2,12.2,12.2,0,0.0,,,
1998-03-27,12.13,12.13,12.13,12.13,0,0.0,,,
1998-03-30,11.96,11.96,11.96,11.96,0,0.0,,,
1998-03-31,12.06,12.06,12.06,12.06,0,0.0,1.0816143497757849,1.177734375,
1998-04-01,12.11,12.11,12.11,12.11,0,0.0,1.0774021352313166,1.1780155642023349,
