Date,Open,High,Low,Close,Volume,Dividend
2007-09-28,25.72,25.72,25.65,25.67,2500,0.0
2007-10-01,25.74,25.9,25.74,25.9,1800,0.0
2007-10-02,25.89,25.9,25.81,25.9,1700,0.0
2007-10-03,25.92,25.98,25.88,25.88,700,0.0
2007-10-04,25.7,25.77,25.65,25.76,10500,0.0
2007-10-05,26.07,26.07,26.06,26.07,600,0.0
2007-10-08,26.16,26.18,26.16,26.18,1100,0.0
2007-10-09,26.09,26.3,26.09,26.3,24800,0.0
2007-10-10,26.25,26.3,26.22,26.28,3300,0.0
2007-10-11,26.68,26.68,26.41,26.41,4800,0.0
2007-10-12,26.4,26.45,26.4,26.45,2200,0.0
2007-10-15,26.45,26.45,26.17,26.19,2600,0.0
2007-10-16,25.94,25.95,25.9,25.9,800,0.0
2007-10-17,26.19,26.19,25.95,25.98,2600,0.0
2007-10-18,26.11,26.11,26.11,26.11,200,0.0
2007-10-19,26.2,26.2,25.9,25.9,1300,0.0
2007-10-22,25.54,25.6,25.47,25.47,1400,0.0
2007-10-23,26.02,26.02,25.94,25.98,3400,0.0
2007-10-24,26.07,26.07,25.9,26.03,1300,0.0
2007-10-25,26.03,26.03,26.03,26.03,100,0.0
2007-10-26,26.3,26.3,26.22,26.25,2500,0.0
2007-10-29,26.55,26.55,26.51,26.51,2500,0.0
2007-10-30,26.52,26.55,26.39,26.39,2600,0.0
2007-10-31,26.86,26.9,26.55,26.55,26600,0.0
2007-11-01,26.92,26.92,26.63,26.63,3200,0.0
2007-11-02,26.6,26.61,26.45,26.45,1500,0.0
2007-11-05,25.88,25.88,25.74,25.87,1800,0.0
2007-11-06,26.01,26.05,26.0,26.05,800,0.0
2007-11-07,26.26,26.34,25.93,25.93,2500,0.0
2007-11-08,25.93,25.93,25.6,25.6,3400,0.0
2007-11-09,25.5,25.5,25.5,25.5,800,0.0
2007-11-12,24.95,24.99,24.81,24.81,1700,0.0
2007-11-13,25.05,25.05,25.05,25.05,200,0.0
2007-11-14,25.7,25.7,25.3,25.3,1400,0.0
2007-11-15,25.18,25.2,24.9,24.9,8900,0.0
2007-11-16,24.78,24.96,24.78,24.96,3800,0.0
2007-11-19,24.92,24.92,24.02,24.02,2900,0.0
2007-11-20,24.47,24.47,24.26,24.26,500,0.0
2007-11-21,23.8,23.8,23.8,23.8,1000,0.0
2007-11-23,24.52,24.55,24.44,24.55,9600,0.0
2007-11-26,24.6,24.6,24.11,24.11,1400,0.0
2007-11-27,24.58,24.58,24.4,24.47,3400,0.0
2007-11-28,24.9,25.03,24.27,24.99,16300,0.0
2007-11-29,24.83,24.95,24.81,24.93,3600,0.0
2007-11-30,24.93,24.93,24.93,24.93,0,0.0
2007-12-03,25.07,25.12,25.07,25.09,32400,0.0
2007-12-04,24.88,24.88,24.8,24.85,22200,0.0
2007-12-05,25.08,25.1,25.04,25.04,1300,0.0
2007-12-06,25.12,25.16,25.12,25.16,4500,0.0
2007-12-07,25.34,25.34,25.25,25.27,1800,0.0
2007-12-10,25.15,25.32,25.15,25.32,1000,0.0
2007-12-11,25.37,25.41,24.9,24.95,2000,0.0
2007-12-12,25.5,25.5,25.24,25.26,20100,0.0
2007-12-13,24.8,24.8,24.6,24.6,1300,0.0
2007-12-14,24.25,24.25,24.05,24.05,5400,0.0
2007-12-17,23.58,23.58,23.32,23.32,5700,0.0
2007-12-18,24.18,24.18,23.8,24.04,85900,0.0
2007-12-19,23.88,23.88,23.56,23.71,5900,0.0
2007-12-20,23.78,23.8,23.65,23.69,9000,0.0
2007-12-21,24.0,24.03,23.9,24.01,26000,0.035
