Date,Open,High,Low,Close,Volume,Dividend
2007-05-30,25.15,25.15,25.15,25.15,200,0.0
2007-05-31,25.15,25.15,25.15,25.15,0,0.0
2007-06-01,24.95,24.95,24.95,24.95,400,0.0
2007-06-04,24.95,24.95,24.95,24.95,0,0.0
2007-06-05,24.95,24.95,24.95,24.95,0,0.0
2007-06-06,24.93,24.95,24.93,24.95,5200,0.0
2007-06-07,24.95,24.95,24.95,24.95,0,0.0
2007-06-08,24.95,24.95,24.95,24.95,0,0.0
2007-06-11,24.42,24.5,24.42,24.5,16400,0.0
2007-06-12,24.5,24.5,24.5,24.5,0,0.0
2007-06-13,24.37,24.37,24.37,24.37,400,0.0
2007-06-14,24.37,24.37,24.37,24.37,0,0.0
2007-06-15,24.49,24.49,24.49,24.49,600,0.0
2007-06-18,24.49,24.49,24.49,24.49,0,0.0
2007-06-19,24.49,24.49,24.49,24.49,0,0.0
2007-06-20,24.49,24.49,24.49,24.49,0,0.0
2007-06-21,24.49,24.49,24.49,24.49,0,0.0
2007-06-22,24.49,24.49,24.49,24.49,0,0.0
2007-06-25,24.49,24.49,24.49,24.49,0,0.0
2007-06-26,24.49,24.49,24.49,24.49,0,0.0
2007-06-27,24.49,24.49,24.49,24.49,0,0.0
2007-06-28,24.49,24.49,24.49,24.49,0,0.0
2007-06-29,24.74,24.74,24.74,24.74,20000,0.0
2007-07-02,24.74,24.74,24.74,24.74,0,0.11
2007-07-03,24.77,24.77,24.77,24.77,200,0.0
2007-07-05,24.58,24.59,24.52,24.53,260400,0.0
2007-07-06,24.53,24.53,24.53,24.53,0,0.0
2007-07-09,24.46,24.46,24.46,24.46,3000,0.0
2007-07-10,24.68,24.68,24.68,24.68,400,0.0
2007-07-11,24.76,24.76,24.61,24.61,1800,0.0
2007-07-12,24.58,24.58,24.5,24.5,2400,0.0
2007-07-13,24.64,24.64,24.59,24.59,2600,0.0
2007-07-16,24.59,24.59,24.59,24.59,0,0.0
2007-07-17,24.65,24.65,24.65,24.65,600,0.0
2007-07-18,24.86,24.87,24.83,24.83,2200,0.0
2007-07-19,24.67,24.76,24.67,24.76,12800,0.0
2007-07-20,24.81,25.01,24.81,24.99,5000,0.0
2007-07-23,24.98,24.98,24.98,24.98,400,0.0
2007-07-24,25.02,25.03,24.99,24.99,5200,0.0
2007-07-25,25.06,25.08,25.06,25.08,2800,0.0
2007-07-26,25.22,25.31,25.22,25.31,1000,0.0
2007-07-27,25.35,25.35,25.35,25.35,800,0.0
2007-07-30,25.28,25.29,25.28,25.29,1600,0.0
2007-07-31,25.31,25.4,25.31,25.39,1800,0.0
2007-08-01,25.26,25.31,25.26,25.31,1600,0.1035
2007-08-02,25.26,25.27,25.26,25.26,1800,0.0
2007-08-03,25.36,25.36,25.36,25.36,1000,0.0
2007-08-06,25.38,25.38,25.38,25.38,200,0.0
2007-08-07,25.38,25.38,25.38,25.38,0,0.0
2007-08-08,25.24,25.24,25.24,25.24,8000,0.0
2007-08-09,25.24,25.24,25.24,25.24,0,0.0
2007-08-10,25.24,25.24,25.21,25.21,1600,0.0
2007-08-13,25.21,25.21,25.14,25.14,3200,0.0
2007-08-14,25.25,25.25,25.25,25.25,400,0.0
2007-08-15,25.28,25.28,25.17,25.19,800,0.0
2007-08-16,25.32,25.48,25.32,25.41,27000,0.0
2007-08-17,25.3,25.3,25.28,25.28,600,0.0
