Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6
1994-05-04,10.0,10.0,10.0,10.0,0,0.0,,,
1994-05-05,10.08,10.08,10.08,10.08,0,0.0,,,
1994-05-06,10.1,10.1,10.1,10.1,0,0.0,,,
1994-05-09,9.88,9.88,9.88,9.88,0,0.0,,,
1994-05-10,10.04,10.04,10.04,10.04,0,0.0,,,
1994-05-11,10.09,10.09,10.09,10.09,0,0.0,,,
1994-05-12,10.14,10.14,10.14,10.14,0,0.0,,,
1994-05-13,10.22,10.22,10.22,10.22,0,0.0,,,
1994-05-16,10.25,10.25,10.25,10.25,0,0.0,,,
1994-05-17,10.3,10.3,10.3,10.3,0,0.0,,,
1994-05-18,10.61,10.61,10.61,10.61,0,0.0,,,
1994-05-19,10.77,10.77,10.77,10.77,0,0.0,,,
1994-05-20,10.89,10.89,10.89,10.89,0,0.0,,,
1994-05-23,10.91,10.91,10.91,10.91,0,0.0,,,
1994-05-24,10.93,10.93,10.93,10.93,0,0.0,,,
1994-05-25,10.99,10.99,10.99,10.99,0,0.0,,,
1994-05-26,11.01,11.01,11.01,11.01,0,0.0,,,
1994-05-27,11.02,11.02,11.02,11.02,0,0.0,,,
1994-05-31,11.05,11.05,11.05,11.05,0,0.0,,,
1994-06-01,11.0,11.0,11.0,11.0,0,0.0,1.1,,
1994-06-02,10.86,10.86,10.86,10.86,0,0.0,,,
1994-06-03,10.93,10.93,10.93,10.93,0,0.0,,,
1994-06-06,11.09,11.09,11.09,11.09,0,0.0,,,
1994-06-07,11.04,11.04,11.04,11.04,0,0.0,,,
1994-06-08,10.95,10.95,10.95,10.95,0,0.0,,,
1994-06-09,10.94,10.94,10.94,10.94,0,0.0,,,
1994-06-10,10.99,10.99,10.99,10.99,0,0.0,,,
1994-06-13,10.9,10.9,10.9,10.9,0,0.0,,,
1994-06-14,10.91,10.91,10.91,10.91,0,0.0,,,
1994-06-15,10.92,10.92,10.92,10.92,0,0.0,,,
1994-06-16,10.88,10.88,10.88,10.88,0,0.0,,,
1994-06-17,10.93,10.93,10.93,10.93,0,0.0,,,
1994-06-20,10.83,10.83,10.83,10.83,0,0.0,,,
1994-06-21,10.66,10.66,10.66,10.66,0,0.0,,,
1994-06-22,10.65,10.65,10.65,10.65,0,0.0,,,
1994-06-23,10.56,10.56,10.56,10.56,0,0.0,,,
1994-06-24,10.48,10.48,10.48,10.48,0,0.0,,,
1994-06-27,10.47,10.47,10.47,10.47,0,0.0,,,
1994-06-28,10.5,10.5,10.5,10.5,0,0.0,,,
1994-06-29,10.61,10.61,10.61,10.61,0,0.0,,,
1994-06-30,10.57,10.57,10.57,10.57,0,0.0,0.9565610859728506,,
1994-07-01,10.52,10.52,10.52,10.52,0,0.0,0.9563636363636364,,
1994-07-05,10.57,10.57,10.57,10.57,0,0.0,,,
1994-07-06,10.65,10.65,10.65,10.65,0,0.0,,,
1994-07-07,10.74,10.74,10.74,10.74,0,0.0,,,
1994-07-08,10.74,10.74,10.74,10.74,0,0.0,,,
1994-07-11,10.74,10.74,10.74,10.74,0,0.0,,,
1994-07-12,10.75,10.75,10.75,10.75,0,0.0,,,
1994-07-13,10.76,10.76,10.76,10.76,0,0.0,,,
1994-07-14,10.91,10.91,10.91,10.91,0,0.0,,,
1994-07-15,10.98,10.98,10.98,10.98,0,0.0,,,
1994-07-18,11.01,11.01,11.01,11.01,0,0.0,,,
1994-07-19,10.94,10.94,10.94,10.94,0,0.0,,,
1994-07-20,11.0,11.0,11.0,11.0,0,0.0,,,
1994-07-21,10.94,10.94,10.94,10.94,0,0.0,,,
1994-07-22,10.99,10.99,10.99,10.99,0,0.0,,,
1994-07-25,11.04,11.04,11.04,11.04,0,0.0,,,
1994-07-26,11.17,11.17,11.17,11.17,0,0.0,,,
1994-07-27,11.33,11.33,11.33,11.33,0,0.0,,,
1994-07-28,11.36,11.36,11.36,11.36,0,0.0,,,
1994-07-29,11.41,11.41,11.41,11.41,0,0.0,1.0794701986754969,,
1994-08-01,11.59,11.59,11.59,11.59,0,0.0,1.1017110266159695,1.159,
1994-08-02,11.82,11.82,11.82,11.82,0,0.0,,,
1994-08-03,11.92,11.92,11.92,11.92,0,0.0,,,
1994-08-04,11.97,11.97,11.97,11.97,0,0.0,,,
1994-08-05,12.03,12.03,12.03,12.03,0,0.0,,,
1994-08-08,12.06,12.06,12.06,12.06,0,0.0,,,
1994-08-09,12.02,12.02,12.02,12.02,0,0.0,,,
1994-08-10,12.03,12.03,12.03,12.03,0,0.0,,,
1994-08-11,12.07,12.07,12.07,12.07,0,0.0,,,
1994-08-12,12.13,12.13,12.13,12.13,0,0.0,,,
1994-08-15,12.19,12.19,12.19,12.19,0,0.0,,,
1994-08-16,12.28,12.28,12.28,12.28,0,0.0,,,
1994-08-17,12.5,12.5,12.5,12.5,0,0.0,,,
1994-08-18,12.57,12.57,12.57,12.57,0,0.0,,,
1994-08-19,12.65,12.65,12.65,12.65,0,0.0,,,
1994-08-22,12.85,12.85,12.85,12.85,0,0.0,,,
1994-08-23,12.85,12.85,12.85,12.85,0,0.0,,,
1994-08-24,12.75,12.75,12.75,12.75,0,0.0,,,
1994-08-25,12.76,12.76,12.76,12.76,0,0.0,,,
1994-08-26,12.66,12.66,12.66,12.66,0,0.0,,,
1994-08-29,12.68,12.68,12.68,12.68,0,0.0,,,
1994-08-30,12.81,12.81,12.81,12.81,0,0.0,,,
1994-08-31,12.83,12.83,12.83,12.83,0,0.0,1.1244522348816828,1.1610859728506786,
1994-09-01,12.94,12.94,12.94,12.94,0,0.0,1.1164797238999138,1.1763636363636365,
1994-09-02,12.94,12.94,12.94,12.94,0,0.0,,,
1994-09-06,12.84,12.84,12.84,12.84,0,0.0,,,
1994-09-07,12.85,12.85,12.85,12.85,0,0.0,,,
1994-09-08,13.0,13.0,13.0,13.0,0,0.0,,,
1994-09-09,13.01,13.01,13.01,13.01,0,0.0,,,
1994-09-12,13.0,13.0,13.0,13.0,0,0.0,,,
1994-09-13,13.0,13.0,13.0,13.0,0,0.0,,,
1994-09-14,13.08,13.08,13.08,13.08,0,0.0,,,
1994-09-15,13.04,13.04,13.04,13.04,0,0.0,,,
1994-09-16,13.12,13.12,13.12,13.12,0,0.0,,,
1994-09-19,13.09,13.09,13.09,13.09,0,0.0,,,
1994-09-20,13.07,13.07,13.07,13.07,0,0.0,,,
1994-09-21,13.09,13.09,13.09,13.09,0,0.0,,,
1994-09-22,13.09,13.09,13.09,13.09,0,0.0,,,
1994-09-23,13.1,13.1,13.1,13.1,0,0.0,,,
1994-09-26,12.96,12.96,12.96,12.96,0,0.0,,,
1994-09-27,12.87,12.87,12.87,12.87,0,0.0,,,
1994-09-28,12.85,12.85,12.85,12.85,0,0.0,,,
1994-09-29,12.86,12.86,12.86,12.86,0,0.0,,,
1994-09-30,12.87,12.87,12.87,12.87,0,0.0,1.0031176929072485,1.2175969725638598,
1994-10-03,12.82,12.82,12.82,12.82,0,0.0,0.9907264296754252,1.2186311787072244,
1994-10-04,12.83,12.83,12.83,12.83,0,0.0,,,
1994-10-05,12.73,12.73,12.73,12.73,0,0.0,,,
1994-10-06,12.66,12.66,12.66,12.66,0,0.0,,,
1994-10-07,12.58,12.58,12.58,12.58,0,0.0,,,
1994-10-10,12.51,12.51,12.51,12.51,0,0.0,,,
1994-10-11,12.62,12.62,12.62,12.62,0,0.0,,,
1994-10-12,12.75,12.75,12.75,12.75,0,0.0,,,
1994-10-13,12.79,12.79,12.79,12.79,0,0.0,,,
1994-10-14,12.77,12.77,12.77,12.77,0,0.0,,,
1994-10-17,12.76,12.76,12.76,12.76,0,0.0,,,
1994-10-18,12.72,12.72,12.72,12.72,0,0.0,,,
1994-10-19,12.6,12.6,12.6,12.6,0,0.0,,,
1994-10-20,12.65,12.65,12.65,12.65,0,0.0,,,
1994-10-21,12.49,12.49,12.49,12.49,0,0.0,,,
1994-10-24,12.37,12.37,12.37,12.37,0,0.0,,,
1994-10-25,12.4,12.4,12.4,12.4,0,0.0,,,
1994-10-26,12.4,12.4,12.4,12.4,0,0.0,,,
1994-10-27,12.43,12.43,12.43,12.43,0,0.0,,,
1994-10-28,12.58,12.58,12.58,12.58,0,0.0,,,
1994-10-31,12.67,12.67,12.67,12.67,0,0.0,0.9844599844599844,1.1104294478527608,
1994-11-01,12.59,12.59,12.59,12.59,0,0.0,0.9820592823712948,1.0862812769628991,1.2590000000000001
1994-11-02,12.59,12.59,12.59,12.59,0,0.0,,,
1994-11-03,12.44,12.44,12.44,12.44,0,0.0,,,
1994-11-04,12.55,12.55,12.55,12.55,0,0.0,,,
1994-11-07,12.57,12.57,12.57,12.57,0,0.0,,,
1994-11-08,12.56,12.56,12.56,12.56,0,0.0,,,
1994-11-09,12.61,12.61,12.61,12.61,0,0.0,,,
1994-11-10,12.45,12.45,12.45,12.45,0,0.0,,,
1994-11-11,12.41,12.41,12.41,12.41,0,0.0,,,
1994-11-14,12.4,12.4,12.4,12.4,0,0.0,,,
1994-11-15,12.5,12.5,12.5,12.5,0,0.0,,,
1994-11-16,12.5,12.5,12.5,12.5,0,0.0,,,
1994-11-17,12.39,12.39,12.39,12.39,0,0.0,,,
1994-11-18,12.25,12.25,12.25,12.25,0,0.0,,,
1994-11-21,12.09,12.09,12.09,12.09,0,0.0,,,
1994-11-22,11.99,11.99,11.99,11.99,0,0.0,,,
1994-11-23,11.67,11.67,11.67,11.67,0,0.0,,,
1994-11-25,11.72,11.72,11.72,11.72,0,0.0,,,
1994-11-28,11.73,11.73,11.73,11.73,0,0.0,,,
1994-11-29,11.85,11.85,11.85,11.85,0,0.0,,,
1994-11-30,11.9,11.9,11.9,11.9,0,0.0,0.9392265193370166,0.9275136399064692,1.0769230769230769
1994-12-01,11.8,11.8,11.8,11.8,0,0.0,0.9372517871326448,0.9119010819165381,1.0727272727272728
1994-12-02,11.58,11.58,11.58,11.58,0,0.0,,,
1994-12-05,11.61,11.61,11.61,11.61,0,0.0,,,
1994-12-06,11.62,11.62,11.62,11.62,0,0.0,,,
1994-12-07,11.63,11.63,11.63,11.63,0,0.0,,,
1994-12-08,11.56,11.56,11.56,11.56,0,0.0,,,
1994-12-09,11.36,11.36,11.36,11.36,0,0.0,,,
1994-12-12,11.34,11.34,11.34,11.34,0,0.0,,,
1994-12-13,11.38,11.38,11.38,11.38,0,0.0,,,
1994-12-14,11.56,11.56,11.56,11.56,0,0.0,,,
1994-12-15,11.6,11.6,11.6,11.6,0,0.0,,,
1994-12-16,11.57,11.57,11.57,11.57,0,0.0,,,
1994-12-19,11.6,11.6,11.6,11.6,0,0.0,,,
1994-12-20,11.38,11.38,11.38,11.38,0,0.0,,,
1994-12-21,11.23,11.23,11.23,11.23,0,0.0,,,
1994-12-22,10.99,10.99,10.99,10.99,0,0.0,,,
1994-12-23,11.0,11.0,11.0,11.0,0,0.0,,,
1994-12-27,10.7,10.7,10.7,10.7,0,0.0,,,
1994-12-28,10.76,10.76,10.76,10.76,0,0.07,,,
1994-12-29,10.86,10.86,10.86,10.86,0,0.0,,,
1994-12-30,10.87,10.87,10.87,10.87,0,0.0,0.9134453781512604,0.8445998445998446,1.0283822138126772
1995-01-03,10.59,10.59,10.59,10.59,0,0.0,0.897457627118644,0.8260530421216848,1.0066539923954372
1995-01-04,10.47,10.47,10.47,10.47,0,0.0,,,
1995-01-05,10.54,10.54,10.54,10.54,0,0.0,,,
1995-01-06,10.42,10.42,10.42,10.42,0,0.0,,,
1995-01-09,10.17,10.17,10.17,10.17,0,0.0,,,
1995-01-10,9.81,9.81,9.81,9.81,0,0.0,,,
1995-01-11,9.89,9.89,9.89,9.89,0,0.0,,,
1995-01-12,9.97,9.97,9.97,9.97,0,0.0,,,
1995-01-13,10.05,10.05,10.05,10.05,0,0.0,,,
1995-01-16,10.11,10.11,10.11,10.11,0,0.0,,,
1995-01-17,10.24,10.24,10.24,10.24,0,0.0,,,
1995-01-18,10.21,10.21,10.21,10.21,0,0.0,,,
1995-01-19,9.94,9.94,9.94,9.94,0,0.0,,,
1995-01-20,9.77,9.77,9.77,9.77,0,0.0,,,
1995-01-23,9.46,9.46,9.46,9.46,0,0.0,,,
1995-01-24,9.47,9.47,9.47,9.47,0,0.0,,,
1995-01-25,9.6,9.6,9.6,9.6,0,0.0,,,
1995-01-26,9.68,9.68,9.68,9.68,0,0.0,,,
1995-01-27,9.63,9.63,9.63,9.63,0,0.0,,,
1995-01-30,9.47,9.47,9.47,9.47,0,0.0,,,
1995-01-31,9.71,9.71,9.71,9.71,0,0.0,0.8932842686292549,0.7663772691397002,0.8510078878177039
1995-02-01,9.79,9.79,9.79,9.79,0,0.0,0.9244570349386212,0.7776012708498808,0.8446937014667817
1995-02-02,9.77,9.77,9.77,9.77,0,0.0,,,
1995-02-03,10.0,10.0,10.0,10.0,0,0.0,,,
1995-02-06,10.21,10.21,10.21,10.21,0,0.0,,,
1995-02-07,10.18,10.18,10.18,10.18,0,0.0,,,
1995-02-08,10.1,10.1,10.1,10.1,0,0.0,,,
1995-02-09,10.0,10.0,10.0,10.0,0,0.0,,,
1995-02-10,9.98,9.98,9.98,9.98,0,0.0,,,
1995-02-13,9.95,9.95,9.95,9.95,0,0.0,,,
1995-02-14,9.83,9.83,9.83,9.83,0,0.0,,,
1995-02-15,9.78,9.78,9.78,9.78,0,0.0,,,
1995-02-16,9.69,9.69,9.69,9.69,0,0.0,,,
1995-02-17,9.78,9.78,9.78,9.78,0,0.0,,,
1995-02-21,9.62,9.62,9.62,9.62,0,0.0,,,
1995-02-22,9.49,9.49,9.49,9.49,0,0.0,,,
1995-02-23,9.67,9.67,9.67,9.67,0,0.0,,,
1995-02-24,9.77,9.77,9.77,9.77,0,0.0,,,
1995-02-27,9.58,9.58,9.58,9.58,0,0.0,,,
1995-02-28,9.75,9.75,9.75,9.75,0,0.0,1.004119464469619,0.8193277310924371,0.759937646141855
1995-03-01,9.72,9.72,9.72,9.72,0,0.0,0.9928498467824312,0.823728813559322,0.7511591962905719
1995-03-02,9.58,9.58,9.58,9.58,0,0.0,,,
1995-03-03,9.55,9.55,9.55,9.55,0,0.0,,,
1995-03-06,9.33,9.33,9.33,9.33,0,0.0,,,
1995-03-07,9.19,9.19,9.19,9.19,0,0.0,,,
1995-03-08,8.92,8.92,8.92,8.92,0,0.0,,,
1995-03-09,8.86,8.86,8.86,8.86,0,0.0,,,
1995-03-10,9.0,9.0,9.0,9.0,0,0.0,,,
1995-03-13,9.11,9.11,9.11,9.11,0,0.0,,,
1995-03-14,9.21,9.21,9.21,9.21,0,0.0,,,
1995-03-15,9.21,9.21,9.21,9.21,0,0.0,,,
1995-03-16,9.25,9.25,9.25,9.25,0,0.0,,,
1995-03-17,9.33,9.33,9.33,9.33,0,0.0,,,
1995-03-20,9.34,9.34,9.34,9.34,0,0.0,,,
1995-03-21,9.35,9.35,9.35,9.35,0,0.0,,,
1995-03-22,9.36,9.36,9.36,9.36,0,0.0,,,
1995-03-23,9.39,9.39,9.39,9.39,0,0.0,,,
1995-03-24,9.53,9.53,9.53,9.53,0,0.0,,,
1995-03-27,9.64,9.64,9.64,9.64,0,0.0,,,
1995-03-28,9.67,9.67,9.67,9.67,0,0.0,,,
1995-03-29,9.72,9.72,9.72,9.72,0,0.0,,,
1995-03-30,9.67,9.67,9.67,9.67,0,0.0,,,
1995-03-31,9.65,9.65,9.65,9.65,0,0.0,0.9897435897435898,0.8877644894204233,0.7498057498057499
1995-04-03,9.53,9.53,9.53,9.53,0,0.0,0.9804526748971192,0.8999055712936732,0.7433697347893915
1995-04-04,9.66,9.66,9.66,9.66,0,0.0,,,
1995-04-05,9.81,9.81,9.81,9.81,0,0.0,,,
1995-04-06,9.83,9.83,9.83,9.83,0,0.0,,,
1995-04-07,9.77,9.77,9.77,9.77,0,0.0,,,
1995-04-10,9.69,9.69,9.69,9.69,0,0.0,,,
1995-04-11,9.66,9.66,9.66,9.66,0,0.0,,,
1995-04-12,9.69,9.69,9.69,9.69,0,0.0,,,
1995-04-13,9.71,9.71,9.71,9.71,0,0.0,,,
1995-04-17,9.77,9.77,9.77,9.77,0,0.0,,,
1995-04-18,9.77,9.77,9.77,9.77,0,0.0,,,
1995-04-19,9.81,9.81,9.81,9.81,0,0.0,,,
1995-04-20,9.87,9.87,9.87,9.87,0,0.0,,,
1995-04-21,10.03,10.03,10.03,10.03,0,0.0,,,
1995-04-24,10.1,10.1,10.1,10.1,0,0.0,,,
1995-04-25,10.2,10.2,10.2,10.2,0,0.0,,,
1995-04-26,10.17,10.17,10.17,10.17,0,0.0,,,
1995-04-27,10.14,10.14,10.14,10.14,0,0.0,,,
1995-04-28,10.15,10.15,10.15,10.15,0,0.0,1.0518134715025906,1.0453141091658085,0.8011049723756907
1995-05-01,10.11,10.11,10.11,10.11,0,0.0,1.0608604407135362,1.0326864147088866,0.8030182684670373
1995-05-02,10.2,10.2,10.2,10.2,0,0.0,,,
1995-05-03,10.36,10.36,10.36,10.36,0,0.0,,,
1995-05-04,10.47,10.47,10.47,10.47,0,0.0,,,
1995-05-05,10.48,10.48,10.48,10.48,0,0.0,,,
1995-05-08,10.49,10.49,10.49,10.49,0,0.0,,,
1995-05-09,10.6,10.6,10.6,10.6,0,0.0,,,
1995-05-10,10.65,10.65,10.65,10.65,0,0.0,,,
1995-05-11,10.86,10.86,10.86,10.86,0,0.0,,,
1995-05-12,10.96,10.96,10.96,10.96,0,0.0,,,
1995-05-15,10.94,10.94,10.94,10.94,0,0.0,,,
1995-05-16,10.98,10.98,10.98,10.98,0,0.0,,,
1995-05-17,11.02,11.02,11.02,11.02,0,0.0,,,
1995-05-18,10.96,10.96,10.96,10.96,0,0.0,,,
1995-05-19,10.87,10.87,10.87,10.87,0,0.0,,,
1995-05-22,10.9,10.9,10.9,10.9,0,0.0,,,
1995-05-23,11.03,11.03,11.03,11.03,0,0.0,,,
1995-05-24,11.07,11.07,11.07,11.07,0,0.0,,,
1995-05-25,11.09,11.09,11.09,11.09,0,0.0,,,
1995-05-26,11.01,11.01,11.01,11.01,0,0.0,,,
1995-05-30,10.87,10.87,10.87,10.87,0,0.0,,,
1995-05-31,10.93,10.93,10.93,10.93,0,0.0,1.076847290640394,1.1210256410256407,0.9184873949579831
1995-06-01,11.14,11.14,11.14,11.14,0,0.0,1.1018793273986154,1.146090534979424,0.9440677966101696
1995-06-02,11.31,11.31,11.31,11.31,0,0.0,,,
1995-06-05,11.37,11.37,11.37,11.37,0,0.0,,,
1995-06-06,11.28,11.28,11.28,11.28,0,0.0,,,
1995-06-07,11.11,11.11,11.11,11.11,0,0.0,,,
1995-06-08,11.07,11.07,11.07,11.07,0,0.0,,,
1995-06-09,10.96,10.96,10.96,10.96,0,0.0,,,
1995-06-12,10.91,10.91,10.91,10.91,0,0.0,,,
1995-06-13,10.95,10.95,10.95,10.95,0,0.0,,,
1995-06-14,11.01,11.01,11.01,11.01,0,0.0,,,
1995-06-15,10.99,10.99,10.99,10.99,0,0.0,,,
1995-06-16,11.06,11.06,11.06,11.06,0,0.0,,,
1995-06-19,11.0,11.0,11.0,11.0,0,0.0,,,
1995-06-20,10.95,10.95,10.95,10.95,0,0.0,,,
1995-06-21,10.97,10.97,10.97,10.97,0,0.0,,,
1995-06-22,10.95,10.95,10.95,10.95,0,0.0,,,
1995-06-23,10.93,10.93,10.93,10.93,0,0.0,,,
1995-06-26,10.88,10.88,10.88,10.88,0,0.0,,,
1995-06-27,10.92,10.92,10.92,10.92,0,0.0,,,
1995-06-28,10.87,10.87,10.87,10.87,0,0.0,,,
1995-06-29,10.89,10.89,10.89,10.89,0,0.0,,,
1995-06-30,10.87,10.87,10.87,10.87,0,0.0,0.9945105215004574,1.1264248704663211,1.0
1995-07-03,10.85,10.85,10.85,10.85,0,0.0,0.973967684021544,1.1385099685204618,1.024551463644948
1995-07-05,11.13,11.13,11.13,11.13,0,0.0,,,
1995-07-06,11.2,11.2,11.2,11.2,0,0.0,,,
1995-07-07,11.43,11.43,11.43,11.43,0,0.0,,,
1995-07-10,11.55,11.55,11.55,11.55,0,0.0,,,
1995-07-11,11.42,11.42,11.42,11.42,0,0.0,,,
1995-07-12,11.5,11.5,11.5,11.5,0,0.0,,,
1995-07-13,11.57,11.57,11.57,11.57,0,0.0,,,
1995-07-14,11.58,11.58,11.58,11.58,0,0.0,,,
1995-07-17,11.53,11.53,11.53,11.53,0,0.0,,,
1995-07-18,11.4,11.4,11.4,11.4,0,0.0,,,
1995-07-19,11.21,11.21,11.21,11.21,0,0.0,,,
1995-07-20,11.26,11.26,11.26,11.26,0,0.0,,,
1995-07-21,11.24,11.24,11.24,11.24,0,0.0,,,
1995-07-24,11.2,11.2,11.2,11.2,0,0.0,,,
1995-07-25,11.24,11.24,11.24,11.24,0,0.0,,,
1995-07-26,11.18,11.18,11.18,11.18,0,0.0,,,
1995-07-27,11.2,11.2,11.2,11.2,0,0.0,,,
1995-07-28,11.19,11.19,11.19,11.19,0,0.0,,,
