Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6
1996-11-04,10.0,10.0,10.0,10.0,0,0.0,,,
1996-11-05,10.0,10.0,10.0,10.0,0,0.0,,,
1996-11-06,10.0,10.0,10.0,10.0,0,0.0,,,
1996-11-07,9.97,9.97,9.97,9.97,0,0.0,,,
1996-11-08,9.98,9.98,9.98,9.98,0,0.0,,,
1996-11-11,9.98,9.98,9.98,9.98,0,0.0,,,
1996-11-12,10.01,10.01,10.01,10.01,0,0.0,,,
1996-11-13,10.05,10.05,10.05,10.05,0,0.0,,,
1996-11-14,10.07,10.07,10.07,10.07,0,0.0,,,
1996-11-15,10.06,10.06,10.06,10.06,0,0.0,,,
1996-11-18,10.04,10.04,10.04,10.04,0,0.0,,,
1996-11-19,10.05,10.05,10.05,10.05,0,0.0,,,
1996-11-20,10.1,10.1,10.1,10.1,0,0.0,,,
1996-11-21,10.12,10.12,10.12,10.12,0,0.0,,,
1996-11-22,10.12,10.12,10.12,10.12,0,0.0,,,
1996-11-25,10.08,10.08,10.08,10.08,0,0.0,,,
1996-11-26,10.05,10.05,10.05,10.05,0,0.0,,,
1996-11-27,10.03,10.03,10.03,10.03,0,0.0,,,
1996-11-29,9.97,9.97,9.97,9.97,0,0.0,,,
1996-12-02,9.99,9.99,9.99,9.99,0,0.0,0.999,,
1996-12-03,9.95,9.95,9.95,9.95,0,0.0,,,
1996-12-04,9.93,9.93,9.93,9.93,0,0.0,,,
1996-12-05,9.96,9.96,9.96,9.96,0,0.0,,,
1996-12-06,9.88,9.88,9.88,9.88,0,0.0,,,
1996-12-09,9.86,9.86,9.86,9.86,0,0.0,,,
1996-12-10,9.96,9.96,9.96,9.96,0,0.0,,,
1996-12-11,9.96,9.96,9.96,9.96,0,0.0,,,
1996-12-12,9.96,9.96,9.96,9.96,0,0.0,,,
1996-12-13,9.88,9.88,9.88,9.88,0,0.008,,,
1996-12-16,9.88,9.88,9.88,9.88,0,0.0,,,
1996-12-17,9.92,9.92,9.92,9.92,0,0.0,,,
1996-12-18,9.87,9.87,9.87,9.87,0,0.0,,,
1996-12-19,9.8,9.8,9.8,9.8,0,0.0,,,
1996-12-20,9.82,9.82,9.82,9.82,0,0.0,,,
1996-12-23,9.86,9.86,9.86,9.86,0,0.0,,,
1996-12-24,9.83,9.83,9.83,9.83,0,0.0,,,
1996-12-26,9.8,9.8,9.8,9.8,0,0.0,,,
1996-12-27,9.85,9.85,9.85,9.85,0,0.0,,,
1996-12-30,9.86,9.86,9.86,9.86,0,0.0,,,
1996-12-31,9.91,9.91,9.91,9.91,0,0.0,0.9939819458375124,,
1997-01-02,9.88,9.88,9.88,9.88,0,0.0,0.988988988988989,,
1997-01-03,9.87,9.87,9.87,9.87,0,0.0,,,
1997-01-06,9.91,9.91,9.91,9.91,0,0.0,,,
1997-01-07,9.95,9.95,9.95,9.95,0,0.0,,,
1997-01-08,9.94,9.94,9.94,9.94,0,0.0,,,
1997-01-09,9.93,9.93,9.93,9.93,0,0.0,,,
1997-01-10,9.87,9.87,9.87,9.87,0,0.0,,,
1997-01-13,9.87,9.87,9.87,9.87,0,0.0,,,
1997-01-14,9.82,9.82,9.82,9.82,0,0.0,,,
1997-01-15,9.84,9.84,9.84,9.84,0,0.0,,,
1997-01-16,9.86,9.86,9.86,9.86,0,0.0,,,
1997-01-17,9.8,9.8,9.8,9.8,0,0.0,,,
1997-01-20,9.74,9.74,9.74,9.74,0,0.0,,,
1997-01-21,9.7,9.7,9.7,9.7,0,0.0,,,
1997-01-22,9.67,9.67,9.67,9.67,0,0.0,,,
1997-01-23,9.64,9.64,9.64,9.64,0,0.0,,,
1997-01-24,9.67,9.67,9.67,9.67,0,0.0,,,
1997-01-27,9.6,9.6,9.6,9.6,0,0.0,,,
1997-01-28,9.49,9.49,9.49,9.49,0,0.0,,,
1997-01-29,9.49,9.49,9.49,9.49,0,0.0,,,
1997-01-30,9.49,9.49,9.49,9.49,0,0.0,,,
1997-01-31,9.52,9.52,9.52,9.52,0,0.0,0.9606458123107972,,
1997-02-03,9.51,9.51,9.51,9.51,0,0.0,0.9625506072874492,0.951,
1997-02-04,9.57,9.57,9.57,9.57,0,0.0,,,
1997-02-05,9.6,9.6,9.6,9.6,0,0.0,,,
1997-02-06,9.57,9.57,9.57,9.57,0,0.0,,,
1997-02-07,9.54,9.54,9.54,9.54,0,0.0,,,
1997-02-10,9.66,9.66,9.66,9.66,0,0.0,,,
1997-02-11,9.64,9.64,9.64,9.64,0,0.0,,,
1997-02-12,9.62,9.62,9.62,9.62,0,0.0,,,
1997-02-13,9.58,9.58,9.58,9.58,0,0.0,,,
1997-02-14,9.57,9.57,9.57,9.57,0,0.0,,,
1997-02-18,9.56,9.56,9.56,9.56,0,0.0,,,
1997-02-19,9.51,9.51,9.51,9.51,0,0.0,,,
1997-02-20,9.58,9.58,9.58,9.58,0,0.0,,,
1997-02-21,9.62,9.62,9.62,9.62,0,0.0,,,
1997-02-24,9.71,9.71,9.71,9.71,0,0.0,,,
1997-02-25,9.72,9.72,9.72,9.72,0,0.0,,,
