Date,Open,High,Low,Close,Volume,Dividend,Momentum_1,Momentum_3,Momentum_6
2000-11-13,30.22,30.22,30.22,30.22,0,0.0,,,
2000-11-14,31.01,31.01,31.01,31.01,0,0.0,,,
2000-11-15,31.2,31.2,31.2,31.2,0,0.0,,,
2000-11-16,30.7,30.7,30.7,30.7,0,0.0,,,
2000-11-17,30.56,30.56,30.56,30.56,0,0.0,,,
2000-11-20,29.84,29.84,29.84,29.84,0,0.0,,,
2000-11-21,29.85,29.85,29.85,29.85,0,0.0,,,
2000-11-22,29.24,29.24,29.24,29.24,0,0.0,,,
2000-11-24,29.83,29.83,29.83,29.83,0,0.0,,,
2000-11-27,29.93,29.93,29.93,29.93,0,0.0,,,
2000-11-28,29.46,29.46,29.46,29.46,0,0.0,,,
2000-11-29,29.51,29.51,29.51,29.51,0,0.0,,,
2000-11-30,28.93,28.93,28.93,28.93,0,0.0,,,
2000-12-01,29.08,29.08,29.08,29.08,0,0.0,0.9622766379880874,,
2000-12-04,29.19,29.19,29.19,29.19,0,0.0,,,
2000-12-05,30.48,30.48,30.48,30.48,0,0.0,,,
2000-12-06,29.95,29.95,29.95,29.95,0,0.0,,,
2000-12-07,29.79,29.79,29.79,29.79,0,0.0,,,
2000-12-08,30.59,30.59,30.59,30.59,0,0.0,,,
2000-12-11,30.96,30.96,30.96,30.96,0,0.0,,,
2000-12-12,30.65,30.65,30.65,30.65,0,0.0,,,
2000-12-13,30.32,30.32,30.32,30.32,0,0.0,,,
2000-12-14,29.8,29.8,29.8,29.8,0,0.0,,,
2000-12-15,29.23,29.23,29.23,29.23,0,0.0,,,
2000-12-18,29.44,29.44,29.44,29.44,0,0.0,,,
2000-12-19,28.98,28.98,28.98,28.98,0,0.0,,,
2000-12-20,27.8,27.8,27.8,27.8,0,0.179,,,
2000-12-21,27.95,27.95,27.95,27.95,0,0.0,,,
2000-12-22,28.79,28.79,28.79,28.79,0,0.0,,,
2000-12-26,28.97,28.97,28.97,28.97,0,0.0,,,
2000-12-27,29.36,29.36,29.36,29.36,0,0.0,,,
2000-12-28,29.63,29.63,29.63,29.63,0,0.0,,,
2000-12-29,29.26,29.26,29.26,29.26,0,0.0,1.0114068441064639,,
2001-01-02,28.28,28.28,28.28,28.28,0,0.0,0.9724896836313619,,
2001-01-03,29.76,29.76,29.76,29.76,0,0.0,,,
2001-01-04,29.39,29.39,29.39,29.39,0,0.0,,,
2001-01-05,28.54,28.54,28.54,28.54,0,0.0,,,
2001-01-08,28.46,28.46,28.46,28.46,0,0.0,,,
2001-01-09,28.61,28.61,28.61,28.61,0,0.0,,,
2001-01-10,29.02,29.02,29.02,29.02,0,0.0,,,
2001-01-11,29.41,29.41,29.41,29.41,0,0.0,,,
2001-01-12,29.3,29.3,29.3,29.3,0,0.0,,,
2001-01-16,29.5,29.5,29.5,29.5,0,0.0,,,
2001-01-17,29.61,29.61,29.61,29.61,0,0.0,,,
2001-01-18,29.94,29.94,29.94,29.94,0,0.0,,,
2001-01-19,29.79,29.79,29.79,29.79,0,0.0,,,
2001-01-22,29.8,29.8,29.8,29.8,0,0.0,,,
2001-01-23,30.27,30.27,30.27,30.27,0,0.0,,,
2001-01-24,30.38,30.38,30.38,30.38,0,0.0,,,
2001-01-25,30.16,30.16,30.16,30.16,0,0.0,,,
2001-01-26,30.13,30.13,30.13,30.13,0,0.0,,,
2001-01-29,30.4,30.4,30.4,30.4,0,0.0,,,
2001-01-30,30.6,30.6,30.6,30.6,0,0.0,,,
2001-01-31,30.39,30.39,30.39,30.39,0,0.0,1.0386192754613808,,
2001-02-01,30.51,30.51,30.51,30.51,0,0.0,1.0788543140028288,1.0095962938451357,
2001-02-02,29.95,29.95,29.95,29.95,0,0.0,,,
2001-02-05,30.01,30.01,30.01,30.01,0,0.0,,,
2001-02-06,30.03,30.03,30.03,30.03,0,0.0,,,
2001-02-07,29.8,29.8,29.8,29.8,0,0.0,,,
2001-02-08,29.6,29.6,29.6,29.6,0,0.0,,,
2001-02-09,29.2,29.2,29.2,29.2,0,0.0,,,
2001-02-12,29.51,29.51,29.51,29.51,0,0.0,,,
2001-02-13,29.25,29.25,29.25,29.25,0,0.0,,,
2001-02-14,29.25,29.25,29.25,29.25,0,0.0,,,
2001-02-15,29.52,29.52,29.52,29.52,0,0.0,,,
2001-02-16,28.98,28.98,28.98,28.98,0,0.0,,,
2001-02-20,28.44,28.44,28.44,28.44,0,0.0,,,
2001-02-21,27.93,27.93,27.93,27.93,0,0.0,,,
2001-02-22,27.8,27.8,27.8,27.8,0,0.0,,,
2001-02-23,27.7,27.7,27.7,27.7,0,0.0,,,
2001-02-26,28.24,28.24,28.24,28.24,0,0.0,,,
2001-02-27,27.92,27.92,27.92,27.92,0,0.0,,,
2001-02-28,27.52,27.52,27.52,27.52,0,0.0,0.9055610398157288,0.9512616660905634,
2001-03-01,27.53,27.53,27.53,27.53,0,0.0,0.9023271058669289,0.9466987620357635,
2001-03-02,27.41,27.41,27.41,27.41,0,0.0,,,
2001-03-05,27.55,27.55,27.55,27.55,0,0.0,,,
2001-03-06,27.84,27.84,27.84,27.84,0,0.0,,,
2001-03-07,28.01,28.01,28.01,28.01,0,0.0,,,
2001-03-08,28.0,28.0,28.0,28.0,0,0.0,,,
2001-03-09,27.31,27.31,27.31,27.31,0,0.0,,,
2001-03-12,26.15,26.15,26.15,26.15,0,0.0,,,
2001-03-13,26.55,26.55,26.55,26.55,0,0.0,,,
2001-03-14,25.9,25.9,25.9,25.9,0,0.0,,,
2001-03-15,25.99,25.99,25.99,25.99,0,0.0,,,
2001-03-16,25.38,25.38,25.38,25.38,0,0.073,,,
2001-03-19,25.85,25.85,25.85,25.85,0,0.0,,,
2001-03-20,25.25,25.25,25.25,25.25,0,0.0,,,
2001-03-21,24.78,24.78,24.78,24.78,0,0.0,,,
2001-03-22,24.67,24.67,24.67,24.67,0,0.0,,,
2001-03-23,25.18,25.18,25.18,25.18,0,0.0,,,
2001-03-26,25.46,25.46,25.46,25.46,0,0.0,,,
2001-03-27,26.07,26.07,26.07,26.07,0,0.0,,,
2001-03-28,25.42,25.42,25.42,25.42,0,0.0,,,
2001-03-29,25.29,25.29,25.29,25.29,0,0.0,,,
2001-03-30,25.6,25.6,25.6,25.6,0,0.0,0.930232558139535,0.8749145591250854,
2001-04-02,25.2,25.2,25.2,25.2,0,0.0,0.9153650563022157,0.891089108910891,
2001-04-03,24.29,24.29,24.29,24.29,0,0.0,,,
2001-04-04,24.21,24.21,24.21,24.21,0,0.0,,,
2001-04-05,25.33,25.33,25.33,25.33,0,0.0,,,
2001-04-06,24.82,24.82,24.82,24.82,0,0.0,,,
2001-04-09,25.04,25.04,25.04,25.04,0,0.0,,,
2001-04-10,25.74,25.74,25.74,25.74,0,0.0,,,
2001-04-11,25.71,25.71,25.71,25.71,0,0.0,,,
2001-04-12,26.1,26.1,26.1,26.1,0,0.0,,,
2001-04-16,25.99,25.99,25.99,25.99,0,0.0,,,
2001-04-17,26.27,26.27,26.27,26.27,0,0.0,,,
2001-04-18,27.29,27.29,27.29,27.29,0,0.0,,,
2001-04-19,27.67,27.67,27.67,27.67,0,0.0,,,
2001-04-20,27.44,27.44,27.44,27.44,0,0.0,,,
2001-04-23,27.0,27.0,27.0,27.0,0,0.0,,,
