Date,Capital,Bench
2008-02-29,99993.0,42.95
2008-03-03,99652.0,42.67
2008-03-04,98637.0,42.91
2008-03-05,98248.0,43.12
2008-03-06,98157.0,42.17
2008-03-07,97988.0,42.07
2008-03-10,98828.0,41.26
2008-03-11,98758.0,42.83
2008-03-12,100145.0,42.71
2008-03-13,99804.0,43.04
2008-03-14,100525.0,42.25
2008-03-17,101086.0,41.48
2008-03-18,100957.0,43.33
2008-03-19,101295.0,42.26
2008-03-20,101224.0,43.123000000000005
2008-03-24,100125.0,44.613
2008-03-25,100799.0,44.863
2008-03-26,100490.0,44.733000000000004
2008-03-27,99860.0,43.743
2008-03-28,100195.0,43.523
2008-03-31,100548.0,43.753
2008-04-01,99594.0,45.623000000000005
2008-04-02,100118.0,45.523
2008-04-03,100319.0,45.623000000000005
2008-04-04,100949.0,45.893
2008-04-07,100776.0,45.793
2008-04-08,100439.0,45.443
2008-04-09,101220.0,44.933
2008-04-10,100991.0,45.573
2008-04-11,100779.0,44.313
2008-04-14,100340.0,44.113
2008-04-15,99746.0,44.173
2008-04-16,100104.0,45.403
2008-04-17,99917.0,45.303000000000004
2008-04-18,99825.0,46.743
2008-04-21,100027.0,47.073
2008-04-22,100100.0,46.373000000000005
2008-04-23,99715.0,46.883
2008-04-24,99054.0,47.303000000000004
2008-04-25,98912.0,47.183
2008-04-28,99155.0,47.273
2008-04-29,98962.0,47.633
2008-04-30,99689.0,47.243
2008-05-01,100422.0,48.733000000000004
2008-05-02,99951.0,48.803000000000004
2008-05-05,99668.0,48.663000000000004
2008-05-06,99682.0,48.963
2008-05-07,99061.0,48.073
2008-05-08,99405.0,48.433
2008-05-09,99454.0,48.243
2008-05-12,99903.0,49.123000000000005
2008-05-13,99318.0,49.253
2008-05-14,99471.0,49.143
2008-05-15,100489.0,50.003
2008-05-16,100270.0,50.043
2008-05-19,100498.0,49.683
2008-05-20,100278.0,49.303000000000004
2008-05-21,99448.0,48.213
2008-05-22,98848.0,48.383
2008-05-23,98446.0,48.233000000000004
2008-05-27,98448.0,49.083
2008-05-28,98207.0,49.283
2008-05-29,98068.0,49.723
2008-05-30,98668.0,50.043
2008-06-02,98136.0,49.433
2008-06-03,98042.0,49.163000000000004
2008-06-04,97653.0,49.793
2008-06-05,98471.0,50.583
2008-06-06,97195.0,49.063
2008-06-09,97404.0,48.803000000000004
2008-06-10,96940.0,48.573
2008-06-11,96017.0,47.403
2008-06-12,95823.0,47.453
2008-06-13,96417.0,48.403
2008-06-16,96388.0,48.833
2008-06-17,96184.0,48.573
2008-06-18,95939.0,48.053000000000004
2008-06-19,95783.0,48.803000000000004
2008-06-20,94895.0,47.487
2008-06-23,94959.0,47.117
2008-06-24,95109.0,46.877
2008-06-25,95298.0,47.637
2008-06-26,94125.0,45.717
2008-06-27,94256.0,45.717
2008-06-30,94720.0,45.237
2008-07-01,94542.0,45.877
2008-07-02,94757.0,44.777
2008-07-03,94520.0,44.697
2008-07-07,94591.0,44.967
2008-07-08,95184.0,46.037
2008-07-09,95323.0,44.817
2008-07-10,95673.0,45.347
2008-07-11,94782.0,44.627
2008-07-14,95401.0,44.297
2008-07-15,95257.0,44.307
2008-07-16,94107.0,45.407000000000004
2008-07-17,93925.0,45.707
2008-07-18,93760.0,44.657000000000004
2008-07-21,94136.0,44.847
2008-07-22,93644.0,44.847
2008-07-23,93218.0,45.437
2008-07-24,93671.0,44.757
2008-07-25,93022.0,45.337
2008-07-28,93485.0,44.487
2008-07-29,93343.0,45.407000000000004
2008-07-30,93491.0,45.637
2008-07-31,94235.0,45.527
2008-08-01,93939.0,44.947
2008-08-04,93452.0,44.497
2008-08-05,93543.0,45.997
2008-08-06,93535.0,46.697
2008-08-07,93845.0,46.337
2008-08-08,94309.0,47.387
2008-08-11,93565.0,47.817
2008-08-12,93660.0,47.867
2008-08-13,93384.0,47.767
2008-08-14,93637.0,48.317
2008-08-15,93920.0,48.227
2008-08-18,93896.0,47.667
2008-08-19,93599.0,47.077
2008-08-20,93829.0,47.157000000000004
2008-08-21,94080.0,46.937
2008-08-22,94370.0,47.557
2008-08-25,94282.0,46.557
2008-08-26,94437.0,46.497
2008-08-27,94798.0,46.797
2008-08-28,95380.0,47.177
2008-08-29,94895.0,46.187
2008-09-02,94996.0,45.617
2008-09-03,95230.0,45.187
2008-09-04,94530.0,43.727
2008-09-05,94605.0,43.517
2008-09-08,95653.0,43.437
2008-09-09,95129.0,42.517
2008-09-10,94923.0,42.867
2008-09-11,95450.0,43.667
2008-09-12,94848.0,43.497
2008-09-15,94897.0,42.147
2008-09-16,95433.0,42.477
2008-09-17,94132.0,40.277
2008-09-18,94325.0,41.637
2008-09-19,93709.0,42.995
2008-09-22,92819.0,40.975
2008-09-23,91800.0,40.665
2008-09-24,92125.0,40.945
2008-09-25,92593.0,41.595
2008-09-26,93070.0,41.175
2008-09-29,91983.0,37.915
2008-09-30,92279.0,39.004999999999995
2008-10-01,93001.0,38.595
2008-10-02,92153.0,36.845
2008-10-03,92324.0,36.275
2008-10-06,92790.0,34.955
2008-10-07,92096.0,32.745
2008-10-08,90918.0,32.485
2008-10-09,89238.0,31.615
2008-10-10,87420.0,31.415
2008-10-13,88909.0,35.225
2008-10-14,88288.0,33.705
2008-10-15,87130.0,30.695
2008-10-16,87144.0,32.355
2008-10-17,86104.0,32.394999999999996
2008-10-20,87902.0,33.295
2008-10-21,87233.0,31.575
2008-10-22,86717.0,30.705
2008-10-23,87379.0,30.584999999999997
2008-10-24,86019.0,29.605
2008-10-27,85462.0,28.785
2008-10-28,86986.0,31.955
2008-10-29,86430.0,31.875
2008-10-30,86388.0,32.935
2008-10-31,85787.0,32.985
2008-11-03,85658.0,32.915
2008-11-04,87821.0,33.845
2008-11-05,88068.0,32.085
2008-11-06,87273.0,30.654999999999998
2008-11-07,86955.0,31.285
2008-11-10,87444.0,30.865
2008-11-11,87312.0,30.195
2008-11-12,87298.0,28.805
2008-11-13,86115.0,30.555
2008-11-14,87554.0,29.075
2008-11-17,87720.0,28.465
2008-11-18,88682.0,28.435
2008-11-19,90361.0,26.955
2008-11-20,94279.0,25.654999999999998
2008-11-21,94194.0,26.765
2008-11-24,93466.0,28.395
2008-11-25,95750.0,28.265
2008-11-26,95870.0,29.445
2008-11-28,97133.0,29.215
2008-12-01,97863.0,27.025
2008-12-02,98756.0,27.924999999999997
2008-12-03,99082.0,28.715
2008-12-04,100139.0,27.904999999999998
2008-12-05,99116.0,29.035
2008-12-08,99609.0,30.174999999999997
2008-12-09,100861.0,30.105
2008-12-10,101333.0,30.005
2008-12-11,101373.0,29.185
2008-12-12,101497.0,29.775
2008-12-15,102570.0,29.255
2008-12-16,105298.0,30.654999999999998
2008-12-17,107452.0,30.285
2008-12-18,108632.0,29.755
2008-12-19,108370.0,29.998
2008-12-22,107782.0,29.348000000000003
2008-12-23,107412.0,29.198
2008-12-24,107437.0,29.278000000000002
2008-12-26,108145.0,29.268
2008-12-29,107873.0,29.028000000000002
2008-12-30,108829.0,29.628
2008-12-31,107860.0,29.878
2009-01-02,106493.0,31.168000000000003
2009-01-05,104244.0,31.158
2009-01-06,103752.0,31.468
2009-01-07,103098.0,30.578000000000003
2009-01-08,103316.0,30.898000000000003
2009-01-09,103009.0,30.208000000000002
2009-01-12,102845.0,29.658
2009-01-13,102907.0,29.668000000000003
2009-01-14,103376.0,28.768
2009-01-15,103613.0,29.238000000000003
2009-01-16,103018.0,29.558000000000003
2009-01-20,102548.0,28.098000000000003
2009-01-21,100867.0,29.288
2009-01-22,99372.0,28.898000000000003
2009-01-23,99480.0,29.038
2009-01-26,99081.0,29.248
2009-01-27,100672.0,29.458000000000002
2009-01-28,99304.0,30.488000000000003
2009-01-29,97639.0,29.718
2009-01-30,97441.0,29.198
2009-02-02,98040.0,29.548000000000002
2009-02-03,96580.0,30.008000000000003
2009-02-04,96308.0,30.048000000000002
2009-02-05,96702.0,30.708000000000002
2009-02-06,96868.0,31.508000000000003
2009-02-09,96891.0,31.638
2009-02-10,97915.0,30.478
2009-02-11,99198.0,30.338
2009-02-12,98672.0,30.708000000000002
2009-02-13,96561.0,30.568
2009-02-17,98490.0,29.358
2009-02-18,98104.0,29.378
2009-02-19,96616.0,28.928
2009-02-20,97364.0,29.008000000000003
2009-02-23,97470.0,27.998
2009-02-24,97427.0,28.918000000000003
2009-02-25,96267.0,28.728
2009-02-26,95345.0,27.928
2009-02-27,94843.0,27.668000000000003
2009-03-02,94811.0,26.778000000000002
2009-03-03,94109.0,26.758000000000003
2009-03-04,94013.0,27.468
2009-03-05,95647.0,26.648000000000003
2009-03-06,95309.0,26.438000000000002
2009-03-09,94456.0,25.878
2009-03-10,93685.0,27.468
2009-03-11,94634.0,27.888
2009-03-12,95778.0,28.808000000000003
2009-03-13,95599.0,28.878
2009-03-16,94464.0,28.398000000000003
2009-03-17,94445.0,29.468
2009-03-18,97604.0,29.838
2009-03-19,97666.0,29.818
2009-03-20,96803.0,29.367
2009-03-23,97171.0,31.087
2009-03-24,97353.0,30.517
2009-03-25,96771.0,30.657
2009-03-26,97903.0,31.597
2009-03-27,97915.0,31.007
2009-03-30,97477.0,30.247
2009-03-31,98372.0,30.507
2009-04-01,99179.0,30.957
2009-04-02,98257.0,31.947000000000003
2009-04-03,96663.0,32.537
2009-04-06,95931.0,32.457
2009-04-07,96064.0,31.607000000000003
2009-04-08,96768.0,32.137
2009-04-09,96221.0,33.126999999999995
2009-04-13,97086.0,33.077
2009-04-14,97190.0,32.677
2009-04-15,97224.0,32.586999999999996
2009-04-16,96550.0,33.427
2009-04-17,95710.0,33.497
2009-04-20,96598.0,32.427
2009-04-21,96064.0,32.876999999999995
2009-04-22,95610.0,32.977
2009-04-23,95940.0,33.297
2009-04-24,95536.0,33.876999999999995
2009-04-27,95640.0,33.916999999999994
2009-04-28,94273.0,33.666999999999994
2009-04-29,93995.0,34.126999999999995
2009-04-30,93749.0,34.467
2009-05-01,93634.0,34.556999999999995
2009-05-04,95428.0,35.236999999999995
2009-05-05,95232.0,35.207
2009-05-06,95997.0,35.217
2009-05-07,94264.0,34.397
2009-05-08,95551.0,34.416999999999994
2009-05-11,95138.0,34.537
2009-05-12,95227.0,34.117
2009-05-13,94398.0,33.207
2009-05-14,94927.0,33.577
2009-05-15,94490.0,33.556999999999995
2009-05-18,95363.0,34.427
2009-05-19,95029.0,34.586999999999996
2009-05-20,95091.0,34.467
2009-05-21,93309.0,33.836999999999996
2009-05-22,92743.0,33.727
2009-05-26,93493.0,34.977
2009-05-27,91796.0,34.736999999999995
2009-05-28,93038.0,35.137
2009-05-29,95127.0,35.567
2009-06-01,94138.0,36.577
2009-06-02,94476.0,36.626999999999995
2009-06-03,94561.0,36.516999999999996
2009-06-04,93727.0,36.927
2009-06-05,93342.0,36.967
2009-06-08,93057.0,36.857
2009-06-09,93212.0,37.137
2009-06-10,92260.0,37.007
2009-06-11,93017.0,37.007
2009-06-12,93628.0,36.836999999999996
2009-06-15,93258.0,36.086999999999996
2009-06-16,93710.0,35.736999999999995
2009-06-17,93360.0,36.077
2009-06-18,92762.0,36.007
2009-06-19,93438.0,36.391
2009-06-22,92908.0,35.311
2009-06-23,93589.0,35.231
2009-06-24,93260.0,35.821000000000005
2009-06-25,95085.0,36.521
2009-06-26,95069.0,36.601
2009-06-29,95517.0,36.681000000000004
2009-06-30,95448.0,36.611000000000004
2009-07-01,95125.0,36.631
2009-07-02,92892.0,35.831
2009-07-06,92482.0,35.641
2009-07-07,90632.0,34.761
2009-07-08,90880.0,34.941
2009-07-09,90895.0,35.001000000000005
2009-07-10,91113.0,35.151
2009-07-13,92513.0,35.821000000000005
2009-07-14,92597.0,35.951
2009-07-15,94981.0,37.151
2009-07-16,96400.0,37.591
2009-07-17,96617.0,37.791000000000004
2009-07-20,101408.0,38.151
2009-07-21,102867.0,38.411
2009-07-22,102899.0,38.731
2009-07-23,105568.0,39.581
2009-07-24,106206.0,39.281
2009-07-27,106682.0,39.581
2009-07-28,106738.0,39.311
2009-07-29,107191.0,39.571000000000005
2009-07-30,107508.0,39.801
2009-07-31,107240.0,39.681000000000004
2009-08-03,107963.0,40.271
2009-08-04,108157.0,40.271
2009-08-05,107549.0,39.961
2009-08-06,107109.0,39.611000000000004
2009-08-07,107986.0,40.111000000000004
2009-08-10,107941.0,39.831
2009-08-11,107376.0,39.491
2009-08-12,108091.0,40.101
2009-08-13,108744.0,40.321000000000005
2009-08-14,108190.0,39.861000000000004
2009-08-17,106697.0,38.711
2009-08-18,107184.0,39.261
2009-08-19,108068.0,39.531
2009-08-20,108809.0,39.991
2009-08-21,109863.0,40.521
2009-08-24,110134.0,40.481
2009-08-25,110483.0,40.601
2009-08-26,110620.0,40.531
2009-08-27,110823.0,40.631
2009-08-28,110599.0,40.671
2009-08-31,110474.0,40.261
2009-09-01,108612.0,39.511
2009-09-02,108323.0,39.481
2009-09-03,108925.0,39.741
2009-09-04,110029.0,40.591
2009-09-08,110830.0,40.971000000000004
2009-09-09,111248.0,41.321000000000005
2009-09-10,112174.0,41.711
2009-09-11,112225.0,41.751000000000005
2009-09-14,112286.0,41.911
2009-09-15,112585.0,42.041000000000004
2009-09-16,113864.0,42.651
2009-09-17,113717.0,42.641
2009-09-18,113883.0,42.711999999999996
2009-09-21,113489.0,42.842
2009-09-22,113960.0,42.922
2009-09-23,113406.0,42.722
2009-09-24,112681.0,42.342
2009-09-25,112434.0,41.972
2009-09-28,113505.0,42.681999999999995
2009-09-29,113334.0,42.492
2009-09-30,113467.0,42.522
2009-10-01,111814.0,41.272
2009-10-02,111631.0,41.152
2009-10-05,112546.0,41.482
2009-10-06,113694.0,42.211999999999996
2009-10-07,113976.0,42.332
2009-10-08,114519.0,42.512
2009-10-09,114900.0,42.751999999999995
2009-10-12,115249.0,42.842
2009-10-13,115103.0,42.852
2009-10-14,116108.0,43.431999999999995
2009-10-15,116611.0,43.332
2009-10-16,116380.0,43.052
2009-10-19,117280.0,43.482
2009-10-20,116951.0,43.492
2009-10-21,115942.0,43.412
2009-10-22,116869.0,43.582
2009-10-23,115778.0,43.402
2009-10-26,114644.0,43.262
2009-10-27,114772.0,42.612
2009-10-28,113835.0,41.662
2009-10-29,115621.0,42.362
2009-10-30,113474.0,41.232
2009-11-02,114660.0,41.402
2009-11-03,115894.0,41.532
2009-11-04,115420.0,41.602
2009-11-05,118044.0,42.622
2009-11-06,118723.0,42.872
2009-11-09,120538.0,43.782
2009-11-10,120877.0,43.891999999999996
2009-11-11,121542.0,44.172
2009-11-12,120482.0,43.922
2009-11-13,121053.0,44.282
2009-11-16,122492.0,44.732
2009-11-17,122572.0,44.872
2009-11-18,121763.0,44.622
2009-11-19,120107.0,43.931999999999995
2009-11-20,119681.0,43.711999999999996
2009-11-23,120773.0,44.412
2009-11-24,121413.0,44.262
2009-11-25,121957.0,44.452
2009-11-27,120582.0,43.782
2009-11-30,120894.0,43.832
2009-12-01,122081.0,44.282
2009-12-02,122505.0,44.342
2009-12-03,121827.0,44.162
2009-12-04,122111.0,44.391999999999996
2009-12-07,122057.0,44.181999999999995
2009-12-08,121197.0,43.912
2009-12-09,121999.0,44.352
2009-12-10,122285.0,44.571999999999996
2009-12-11,122279.0,44.402
2009-12-14,123479.0,44.821999999999996
2009-12-15,122862.0,44.571999999999996
2009-12-16,122639.0,44.632
2009-12-17,121200.0,44.092
