Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
1990-12-31,VUSTX,1030.3432883409503,0.0,9.7,0.0,9994,0,32.28
1991-01-02,VUSTX,1030.3432883409503,0.0,9.81,0.0,10107,0,31.93
1991-01-03,VUSTX,1030.3432883409503,0.0,9.85,0.0,10148,0,31.5
1991-01-04,VUSTX,1030.3432883409503,0.0,9.78,0.0,10076,0,31.43
1991-01-07,VUSTX,1030.3432883409503,0.0,9.64,0.0,9932,0,30.91
1991-01-08,VUSTX,1030.3432883409503,0.0,9.59,0.0,9880,0,30.86
1991-01-09,VUSTX,1030.3432883409503,0.0,9.52,0.0,9808,0,30.54
1991-01-10,VUSTX,1030.3432883409503,0.0,9.6,0.0,9891,0,30.82
1991-01-11,VUSTX,1030.3432883409503,0.0,9.6,0.0,9891,0,30.89
1991-01-14,VUSTX,1030.3432883409503,0.0,9.57,0.0,9860,0,30.64
1991-01-15,VUSTX,1030.3432883409503,0.0,9.56,0.0,9850,0,30.75
1991-01-16,VUSTX,1030.3432883409503,0.0,9.56,0.0,9850,0,30.99
1991-01-17,VUSTX,1030.3432883409503,0.0,9.74,0.0,10035,0,32.11
1991-01-18,VUSTX,1030.3432883409503,0.0,9.8,0.0,10097,0,32.5
1991-01-21,VUSTX,1030.3432883409503,0.0,9.74,0.0,10035,0,32.4
1991-01-22,VUSTX,1030.3432883409503,0.0,9.72,0.0,10014,0,32.14
1991-01-23,VUSTX,1030.3432883409503,0.0,9.75,0.0,10045,0,32.32
1991-01-24,VUSTX,1030.3432883409503,0.0,9.77,0.0,10066,0,32.75
1991-01-25,VUSTX,1030.3432883409503,0.0,9.71,0.0,10004,0,32.88
1991-01-28,VUSTX,1030.3432883409503,0.0,9.73,0.0,10025,0,32.88
1991-01-29,VUSTX,1030.3432883409503,0.0,9.75,0.0,10045,0,32.87
1991-01-30,VUSTX,1030.3432883409503,0.0,9.72,0.0,10014,0,33.35
