Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2000-06-30,VUSTX,979.8635140330643,0.0,10.2,0.0,9994,0,149.76500000000001
2000-07-03,VUSTX,979.8635140330643,0.0,10.24,0.0,10033,0,151.16500000000002
2000-07-05,VUSTX,979.8635140330643,0.0,10.24,0.0,10033,0,149.055
2000-07-06,VUSTX,979.8635140330643,0.0,10.19,0.0,9984,0,150.04500000000002
2000-07-07,VUSTX,979.8635140330643,0.0,10.23,0.0,10024,0,152.095
2000-07-10,VUSTX,979.8635140330643,0.0,10.22,0.0,10014,0,151.79500000000002
2000-07-11,VUSTX,979.8635140330643,0.0,10.22,0.0,10014,0,152.275
2000-07-12,VUSTX,979.8635140330643,0.0,10.21,0.0,10004,0,153.395
2000-07-13,VUSTX,979.8635140330643,0.0,10.29,0.0,10082,0,153.66500000000002
2000-07-14,VUSTX,979.8635140330643,0.0,10.21,0.0,10004,0,154.965
2000-07-17,VUSTX,979.8635140330643,0.0,10.15,0.0,9945,0,155.01500000000001
2000-07-18,VUSTX,979.8635140330643,0.0,10.16,0.0,9955,0,153.47500000000002
2000-07-19,VUSTX,979.8635140330643,0.0,10.15,0.0,9945,0,152.395
2000-07-20,VUSTX,979.8635140330643,0.0,10.29,0.0,10082,0,153.655
2000-07-21,VUSTX,979.8635140330643,0.0,10.32,0.0,10112,0,152.255
2000-07-24,VUSTX,979.8635140330643,0.0,10.29,0.0,10082,0,150.79500000000002
2000-07-25,VUSTX,979.8635140330643,0.0,10.3,0.0,10092,0,151.72500000000002
2000-07-26,VUSTX,979.8635140330643,0.0,10.29,0.0,10082,0,149.715
2000-07-27,VUSTX,979.8635140330643,0.0,10.33,0.0,10121,0,149.485
2000-07-28,VUSTX,979.8635140330643,0.0,10.31,0.0,10102,0,146.755
2000-07-31,VEURX,367.5993933863921,0.0,27.56,0.0,10131,0,147.76500000000001
2000-08-01,VEURX,367.5993933863921,0.0,27.37,0.0,10061,0,148.435
