Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Ticker_5,Shares_5,Dividend_5,Price_5,Ticker_6,Shares_6,Dividend_6,Price_6,Ticker_7,Shares_7,Dividend_7,Price_7,Cash,Capital,InOutCash,Bench
2017-01-31,FBT,12.489067055393585,0.0,96.04,FDN,18.742090461682682,0.0,85.34,IGV,13.650678501322867,0.0,117.17,IHI,8.43673067454456,0.0,142.17,ITA,16.85125359926961,0.0,142.39,TLT,21.64404662781016,0.0,120.1,0,0.0,0.0,0.0,-600.0000000000006,9996,0,131.623
2017-02-01,FBT,12.489067055393585,0.0,96.57,FDN,18.742090461682682,0.0,85.36,IGV,13.650678501322867,0.0,116.46,IHI,8.43673067454456,0.0,142.61,ITA,16.85125359926961,0.0,142.39,TLT,21.64404662781016,0.259,119.1,0,0.0,0.0,0.0,-600.0000000000006,9976,0,132.483
2017-02-02,FBT,12.489067055393585,0.0,96.37,FDN,18.742090461682682,0.0,85.27,IGV,13.650678501322867,0.0,117.37,IHI,8.43673067454456,0.0,142.85,ITA,16.85125359926961,0.0,142.43,TLT,21.64404662781016,0.0,119.05,0,0.0,0.0,0.0,-600.0000000000006,9985,0,132.373
2017-02-03,FBT,12.489067055393585,0.0,97.48,FDN,18.742090461682682,0.0,85.28,IGV,13.650678501322867,0.0,118.64,IHI,8.43673067454456,0.0,143.63,ITA,16.85125359926961,0.0,144.44,TLT,21.64404662781016,0.0,119.0,0,0.0,0.0,0.0,-600.0000000000006,10056,0,132.733
2017-02-06,FBT,12.489067055393585,0.0,97.9,FDN,18.742090461682682,0.0,85.42,IGV,13.650678501322867,0.0,118.28,IHI,8.43673067454456,0.0,143.19,ITA,16.85125359926961,0.0,144.97,TLT,21.64404662781016,0.0,119.72,0,0.0,0.0,0.0,-600.0000000000006,10080,0,132.883
2017-02-07,FBT,12.489067055393585,0.0,97.24,FDN,18.742090461682682,0.0,85.8,IGV,13.650678501322867,0.0,118.62,IHI,8.43673067454456,0.0,143.55,ITA,16.85125359926961,0.0,145.51,TLT,21.64404662781016,0.0,120.6,0,0.0,0.0,0.0,-600.0000000000006,10115,0,133.34300000000002
2017-02-08,FBT,12.489067055393585,0.0,97.27,FDN,18.742090461682682,0.0,85.95,IGV,13.650678501322867,0.0,118.27,IHI,8.43673067454456,0.0,143.17,ITA,16.85125359926961,0.0,144.87,TLT,21.64404662781016,0.0,122.24,0,0.0,0.0,0.0,-600.0000000000006,10135,0,133.553
2017-02-09,FBT,12.489067055393585,0.0,98.65,FDN,18.742090461682682,0.0,86.16,IGV,13.650678501322867,0.0,119.76,IHI,8.43673067454456,0.0,144.21,ITA,16.85125359926961,0.0,145.77,TLT,21.64404662781016,0.0,120.83,0,0.0,0.0,0.0,-600.0000000000006,10169,0,134.013
2017-02-10,FBT,12.489067055393585,0.0,98.53,FDN,18.742090461682682,0.0,86.32,IGV,13.650678501322867,0.0,121.48,IHI,8.43673067454456,0.0,144.46,ITA,16.85125359926961,0.0,147.63,TLT,21.64404662781016,0.0,120.76,0,0.0,0.0,0.0,-600.0000000000006,10226,0,134.433
2017-02-13,FBT,12.489067055393585,0.0,99.29,FDN,18.742090461682682,0.0,86.46,IGV,13.650678501322867,0.0,121.74,IHI,8.43673067454456,0.0,145.27,ITA,16.85125359926961,0.0,148.6,TLT,21.64404662781016,0.0,120.38,0,0.0,0.0,0.0,-600.0000000000006,10257,0,135.153
