Date,On_Price_QQQ,On_Shares_QQQ,On_Dividend_QQQ,Off_Price_IEI,Off_Shares_IEI,Off_Dividend_IEI,Cash,Capital,InOutCash,Bench
2007-02-28,43.33,87.46612289257816,0.0,101.02,61.463006286523346,0.0,0.0,9998,0,122.97
2007-03-01,43.13,87.46612289257816,0.0,100.68,61.463006286523346,0.359,0.0,9960,0,122.75
2007-03-02,42.48,87.46612289257816,0.0,100.96,61.463006286523346,0.0,0.0,9920,0,121.27
2007-03-05,42.15,87.46612289257816,0.0,100.99,61.463006286523346,0.0,0.0,9893,0,120.61
2007-03-06,42.85,87.46612289257816,0.0,100.89,61.463006286523346,0.0,0.0,9948,0,122.37
2007-03-07,42.68,87.46612289257816,0.0,101.03,61.463006286523346,0.0,0.0,9942,0,122.31
2007-03-08,42.97,87.46612289257816,0.0,101.05,61.463006286523346,0.0,0.0,9969,0,123.11
2007-03-09,42.93,87.46612289257816,0.0,100.69,61.463006286523346,0.0,0.0,9943,0,123.3
2007-03-12,43.21,87.46612289257816,0.0,100.87,61.463006286523346,0.0,0.0,9979,0,123.46000000000001
2007-03-13,42.37,87.46612289257816,0.0,101.18,61.463006286523346,0.0,0.0,9924,0,121.33
2007-03-14,42.99,87.46612289257816,0.0,101.16,61.463006286523346,0.0,0.0,9977,0,121.97
2007-03-15,42.89,87.46612289257816,0.0,101.06,61.463006286523346,0.0,0.0,9962,0,122.10000000000001
2007-03-16,42.83,87.46612289257816,0.027000000000000003,101.08,61.463006286523346,0.0,0.0,9958,0,121.637
2007-03-19,43.27,87.46612289257816,0.0,100.91,61.463006286523346,0.0,0.0,9986,0,122.867
2007-03-20,43.58,87.46612289257816,0.0,101.07,61.463006286523346,0.0,0.0,10023,0,123.407
2007-03-21,44.42,87.46612289257816,0.0,101.27,61.463006286523346,0.0,0.0,10109,0,124.87700000000001
2007-03-22,44.26,87.46612289257816,0.0,101.08,61.463006286523346,0.0,0.0,10083,0,125.037
2007-03-23,44.12,87.46612289257816,0.0,100.98,61.463006286523346,0.0,0.0,10065,0,125.277
2007-03-26,44.3,87.46612289257816,0.0,101.11,61.463006286523346,0.0,0.0,10089,0,124.947
2007-03-27,43.99,87.46612289257816,0.0,101.09,61.463006286523346,0.0,0.0,10060,0,124.477
2007-03-28,43.52,87.46612289257816,0.0,101.12,61.463006286523346,0.0,0.0,10021,0,123.587
2007-03-29,43.57,87.46612289257816,0.0,101.01,61.463006286523346,0.0,0.0,10019,0,123.887
2007-03-30,43.53,103.62885263502842,0.0,101.0,54.70380330066794,0.0,0.0,10036,0,124.177
2007-04-02,43.59,103.62885263502842,0.0,100.64,54.70380330066794,0.364,0.0,10022,0,124.23700000000001
2007-04-03,44.16,103.62885263502842,0.0,100.55,54.70380330066794,0.0,0.0,10076,0,125.577
2007-04-04,44.34,103.62885263502842,0.0,100.79,54.70380330066794,0.0,0.0,10108,0,125.76700000000001
2007-04-05,44.56,103.62885263502842,0.0,100.62,54.70380330066794,0.0,0.0,10121,0,126.047
2007-04-09,44.45,103.62885263502842,0.0,100.22,54.70380330066794,0.0,0.0,10088,0,126.23700000000001
2007-04-10,44.68,103.62885263502842,0.0,100.35,54.70380330066794,0.0,0.0,10119,0,126.177
2007-04-11,44.21,103.62885263502842,0.0,100.34,54.70380330066794,0.0,0.0,10070,0,125.48700000000001
2007-04-12,44.56,103.62885263502842,0.0,100.32,54.70380330066794,0.0,0.0,10105,0,125.997
2007-04-13,44.65,103.62885263502842,0.0,100.21,54.70380330066794,0.0,0.0,10108,0,126.73700000000001
2007-04-16,45.06,103.62885263502842,0.0,100.28,54.70380330066794,0.0,0.0,10155,0,127.62700000000001
2007-04-17,45.16,103.62885263502842,0.0,100.6,54.70380330066794,0.0,0.0,10183,0,128.337
2007-04-18,45.01,103.62885263502842,0.0,100.75,54.70380330066794,0.0,0.0,10175,0,128.62699999999998
2007-04-19,45.15,103.62885263502842,0.0,100.75,54.70380330066794,0.0,0.0,10190,0,128.81699999999998
2007-04-20,45.4,103.62885263502842,0.0,100.72,54.70380330066794,0.0,0.0,10214,0,130.263
2007-04-23,45.47,103.62885263502842,0.0,100.86,54.70380330066794,0.0,0.0,10229,0,129.863
2007-04-24,45.7,103.62885263502842,0.0,101.03,54.70380330066794,0.0,0.0,10262,0,130.173
2007-04-25,46.31,103.62885263502842,0.0,100.92,54.70380330066794,0.0,0.0,10319,0,131.31300000000002
2007-04-26,46.55,103.62885263502842,0.0,100.76,54.70380330066794,0.0,0.0,10335,0,131.893
2007-04-27,46.57,103.62885263502842,0.0,100.76,54.70380330066794,0.0,0.0,10337,0,131.923
2007-04-30,45.96,150.5817718603884,0.0,101.06,33.51703106995109,0.0,0.0,10307,0,131.363
2007-05-01,45.92,150.5817718603884,0.0,100.63,33.51703106995109,0.37200000000000005,0.0,10287,0,131.983
2007-05-02,46.42,150.5817718603884,0.0,100.59,33.51703106995109,0.0,0.0,10361,0,132.833
2007-05-03,46.59,150.5817718603884,0.0,100.5,33.51703106995109,0.0,0.0,10384,0,133.083
2007-05-04,46.63,150.5817718603884,0.0,100.65,33.51703106995109,0.0,0.0,10395,0,133.43300000000002
2007-05-07,46.63,150.5817718603884,0.0,100.69,33.51703106995109,0.0,0.0,10396,0,133.733
2007-05-08,46.73,150.5817718603884,0.0,100.71,33.51703106995109,0.0,0.0,10412,0,133.81300000000002
2007-05-09,46.83,150.5817718603884,0.0,100.55,33.51703106995109,0.0,0.0,10421,0,134.263
2007-05-10,46.19,150.5817718603884,0.0,100.65,33.51703106995109,0.0,0.0,10328,0,133.193
2007-05-11,46.78,150.5817718603884,0.0,100.58,33.51703106995109,0.0,0.0,10415,0,134.25300000000001
2007-05-14,46.46,150.5817718603884,0.0,100.43,33.51703106995109,0.0,0.0,10362,0,134.413
2007-05-15,46.1,150.5817718603884,0.0,100.44,33.51703106995109,0.0,0.0,10308,0,134.81300000000002
2007-05-16,46.55,150.5817718603884,0.0,100.51,33.51703106995109,0.0,0.0,10378,0,135.81300000000002
2007-05-17,46.33,150.5817718603884,0.0,100.28,33.51703106995109,0.0,0.0,10337,0,135.62300000000002
2007-05-18,46.71,150.5817718603884,0.0,100.1,33.51703106995109,0.0,0.0,10388,0,136.547
2007-05-21,47.01,150.5817718603884,0.0,100.24,33.51703106995109,0.0,0.0,10438,0,136.24699999999999
2007-05-22,47.05,150.5817718603884,0.0,99.99,33.51703106995109,0.0,0.0,10436,0,136.207
2007-05-23,46.83,150.5817718603884,0.0,99.99,33.51703106995109,0.0,0.0,10403,0,136.24699999999999
2007-05-24,46.16,150.5817718603884,0.0,100.03,33.51703106995109,0.0,0.0,10303,0,135.43699999999998
2007-05-25,46.45,150.5817718603884,0.0,99.93,33.51703106995109,0.0,0.0,10343,0,135.93699999999998
2007-05-29,46.81,150.5817718603884,0.0,99.84,33.51703106995109,0.0,0.0,10395,0,136.267
2007-05-30,47.19,150.5817718603884,0.0,99.9,33.51703106995109,0.0,0.0,10454,0,137.327
2007-05-31,47.41,129.42844316016024,0.0,99.81,43.6663228811928,0.0,0.0,10494,0,137.337
2007-06-01,47.44,129.42844316016024,0.0,99.12,43.6663228811928,0.38299999999999995,0.0,10468,0,137.657
2007-06-04,47.58,129.42844316016024,0.0,99.25,43.6663228811928,0.0,0.0,10492,0,137.607
2007-06-05,47.58,129.42844316016024,0.0,99.04,43.6663228811928,0.0,0.0,10482,0,137.027
2007-06-06,47.07,129.42844316016024,0.0,99.2,43.6663228811928,0.0,0.0,10423,0,135.537
2007-06-07,46.34,129.42844316016024,0.0,98.75,43.6663228811928,0.0,0.0,10309,0,133.577
2007-06-08,46.91,129.42844316016024,0.0,98.75,43.6663228811928,0.0,0.0,10383,0,135.147
2007-06-11,46.82,129.42844316016024,0.0,98.77,43.6663228811928,0.0,0.0,10372,0,135.287
2007-06-12,46.54,129.42844316016024,0.0,98.35,43.6663228811928,0.0,0.0,10318,0,133.96699999999998
2007-06-13,47.05,129.42844316016024,0.0,98.51,43.6663228811928,0.0,0.0,10391,0,135.847
2007-06-14,47.36,129.42844316016024,0.0,98.47,43.6663228811928,0.0,0.0,10429,0,136.74699999999999
2007-06-15,47.76,129.42844316016024,0.037000000000000005,98.76,43.6663228811928,0.0,0.0,10493,0,137.406
2007-06-18,47.77,129.42844316016024,0.0,98.83,43.6663228811928,0.0,0.0,10498,0,137.156
2007-06-19,47.76,129.42844316016024,0.0,99.1,43.6663228811928,0.0,0.0,10508,0,137.48600000000002
2007-06-20,47.31,129.42844316016024,0.0,98.96,43.6663228811928,0.0,0.0,10444,0,136.066
2007-06-21,47.74,129.42844316016024,0.0,98.89,43.6663228811928,0.0,0.0,10497,0,136.586
2007-06-22,47.29,129.42844316016024,0.0,99.1,43.6663228811928,0.0,0.0,10448,0,135.186
2007-06-25,47.09,129.42844316016024,0.0,99.23,43.6663228811928,0.0,0.0,10427,0,134.836
2007-06-26,46.82,129.42844316016024,0.0,99.28,43.6663228811928,0.0,0.0,10395,0,134.01600000000002
2007-06-27,47.54,129.42844316016024,0.0,99.4,43.6663228811928,0.0,0.0,10493,0,135.336
2007-06-28,47.52,129.42844316016024,0.0,99.26,43.6663228811928,0.0,0.0,10484,0,135.306
2007-06-29,47.6,119.15992541453808,0.0,99.58,48.75814044843518,0.0,0.0,10527,0,135.416
2007-07-02,48.03,119.15992541453808,0.0,99.33,48.75814044843518,0.396,0.0,10566,0,136.48600000000002
2007-07-03,48.31,119.15992541453808,0.0,99.19,48.75814044843518,0.0,0.0,10592,0,136.906
2007-07-05,48.66,119.15992541453808,0.0,98.78,48.75814044843518,0.0,0.0,10614,0,136.776
2007-07-06,48.86,119.15992541453808,0.0,98.63,48.75814044843518,0.0,0.0,10631,0,137.346
2007-07-09,48.89,119.15992541453808,0.0,98.73,48.75814044843518,0.0,0.0,10639,0,137.696
2007-07-10,48.48,119.15992541453808,0.0,99.31,48.75814044843518,0.0,0.0,10619,0,136.23600000000002
2007-07-11,48.81,119.15992541453808,0.0,99.07,48.75814044843518,0.0,0.0,10646,0,137.116
2007-07-12,49.56,119.15992541453808,0.0,98.96,48.75814044843518,0.0,0.0,10730,0,139.556
2007-07-13,49.9,119.15992541453808,0.0,99.04,48.75814044843518,0.0,0.0,10775,0,140.126
2007-07-16,49.85,119.15992541453808,0.0,99.27,48.75814044843518,0.0,0.0,10780,0,140.67600000000002
2007-07-17,50.23,119.15992541453808,0.0,99.19,48.75814044843518,0.0,0.0,10821,0,141.01600000000002
2007-07-18,50.17,119.15992541453808,0.0,99.44,48.75814044843518,0.0,0.0,10826,0,140.54600000000002
2007-07-19,50.32,119.15992541453808,0.0,99.4,48.75814044843518,0.0,0.0,10842,0,141.106
2007-07-20,50.05,119.15992541453808,0.0,99.76,48.75814044843518,0.0,0.0,10828,0,139.92
2007-07-23,50.07,119.15992541453808,0.0,99.76,48.75814044843518,0.0,0.0,10830,0,140.59
2007-07-24,49.33,119.15992541453808,0.0,99.94,48.75814044843518,0.0,0.0,10751,0,138.65
2007-07-25,49.4,119.15992541453808,0.0,100.03,48.75814044843518,0.0,0.0,10763,0,138.88
2007-07-26,48.98,119.15992541453808,0.0,100.7,48.75814044843518,0.0,0.0,10746,0,136.09
2007-07-27,47.99,119.15992541453808,0.0,100.79,48.75814044843518,0.0,0.0,10632,0,133.49
2007-07-30,48.55,119.15992541453808,0.0,100.58,48.75814044843518,0.0,0.0,10689,0,134.92
2007-07-31,47.53,99.2339862832436,0.0,100.81,58.314308369933535,0.0,0.0,10595,0,133.54999999999998
2007-08-01,47.9,99.2339862832436,0.0,100.25,58.314308369933535,0.37,0.0,10599,0,134.79
2007-08-02,48.34,99.2339862832436,0.0,100.44,58.314308369933535,0.0,0.0,10654,0,136.16
2007-08-03,47.42,99.2339862832436,0.0,100.85,58.314308369933535,0.0,0.0,10586,0,133.57
2007-08-06,47.97,99.2339862832436,0.0,100.53,58.314308369933535,0.0,0.0,10622,0,135.57999999999998
2007-08-07,48.31,99.2339862832436,0.0,100.39,58.314308369933535,0.0,0.0,10648,0,136.43
2007-08-08,48.84,99.2339862832436,0.0,100.23,58.314308369933535,0.0,0.0,10691,0,137.93
2007-08-09,47.71,99.2339862832436,0.0,100.66,58.314308369933535,0.0,0.0,10604,0,134.17
2007-08-10,47.28,99.2339862832436,0.0,100.52,58.314308369933535,0.0,0.0,10553,0,133.32
2007-08-13,47.6,99.2339862832436,0.0,100.7,58.314308369933535,0.0,0.0,10595,0,133.56
2007-08-14,46.79,99.2339862832436,0.0,101.92,58.314308369933535,0.0,0.0,10586,0,131.87
2007-08-15,45.9,99.2339862832436,0.0,101.14,58.314308369933535,0.0,0.0,10452,0,130.23
2007-08-16,45.45,99.2339862832436,0.0,101.87,58.314308369933535,0.0,0.0,10450,0,130.53
2007-08-17,46.31,99.2339862832436,0.0,101.55,58.314308369933535,0.0,0.0,10517,0,132.215
2007-08-20,46.53,99.2339862832436,0.0,101.76,58.314308369933535,0.0,0.0,10551,0,132.625
2007-08-21,47.02,99.2339862832436,0.0,102.05,58.314308369933535,0.0,0.0,10616,0,132.345
2007-08-22,47.66,99.2339862832436,0.0,101.73,58.314308369933535,0.0,0.0,10661,0,133.95499999999998
2007-08-23,47.53,99.2339862832436,0.0,101.6,58.314308369933535,0.0,0.0,10641,0,133.83499999999998
2007-08-24,48.2,99.2339862832436,0.0,101.53,58.314308369933535,0.0,0.0,10703,0,135.30499999999998
2007-08-27,47.88,99.2339862832436,0.0,101.71,58.314308369933535,0.0,0.0,10682,0,134.785
2007-08-28,46.74,99.2339862832436,0.0,102.3,58.314308369933535,0.0,0.0,10603,0,132.155
2007-08-29,48.08,99.2339862832436,0.0,101.95,58.314308369933535,0.0,0.0,10716,0,134.405
2007-08-30,48.33,99.2339862832436,0.0,102.33,58.314308369933535,0.0,0.0,10763,0,134.23499999999999
2007-08-31,48.87,67.23441021196788,0.0,102.3,73.77997745390648,0.0,0.0,10833,0,135.065
2007-09-04,49.68,67.23441021196788,0.0,101.85,73.77997745390648,0.379,0.0,10854,0,136.005
2007-09-05,49.18,67.23441021196788,0.0,102.35,73.77997745390648,0.0,0.0,10857,0,134.885
2007-09-06,49.14,67.23441021196788,0.0,102.1,73.77997745390648,0.0,0.0,10836,0,135.195
2007-09-07,48.23,67.23441021196788,0.0,102.78,73.77997745390648,0.0,0.0,10825,0,133.185
2007-09-10,48.2,67.23441021196788,0.0,103.0,73.77997745390648,0.0,0.0,10840,0,133.095
2007-09-11,48.93,67.23441021196788,0.0,102.74,73.77997745390648,0.0,0.0,10869,0,134.745
2007-09-12,48.94,67.23441021196788,0.0,102.67,73.77997745390648,0.0,0.0,10865,0,134.915
2007-09-13,49.18,67.23441021196788,0.0,102.24,73.77997745390648,0.0,0.0,10849,0,135.965
2007-09-14,49.22,67.23441021196788,0.0,102.34,73.77997745390648,0.0,0.0,10859,0,136.125
2007-09-17,48.81,67.23441021196788,0.0,102.32,73.77997745390648,0.0,0.0,10830,0,135.725
